Assembly Accession,Assembly BioSample Description Organism Name,ANI Best ANI match ANI,ANI Best ANI match Assembly,ANI Best ANI match Assembly Coverage,ANI Best ANI match Type Category,ANI Best ANI match Organism,ANI Best ANI match Type Assembly Coverage,ANI Best match status,ANI Category,ANI Check status,ANI Comment,ANI Declared ANI match ANI,ANI Declared ANI match Assembly,ANI Declared ANI match Assembly Coverage,ANI Declared ANI match Type Category,ANI Declared ANI match Organism,ANI Declared ANI match Type Assembly Coverage,ANI Submitted organism,ANI Submitted species,Annotation Count Gene Non-coding,Annotation Count Gene Other,Annotation Count Gene Protein-coding,Annotation Count Gene Pseudogene,Annotation Count Gene Total,Annotation Method,Annotation Provider,Annotation Release Date,Annotation Software Version,Assembly Assembly Method,Assembly Atypical Is Atypical,Assembly Atypical Warnings,Assembly BioProject Accession,Assembly BioProject Lineage Accession,Assembly BioProject Lineage Parent Accessions,Assembly BioProject Lineage Title,Assembly BioSample Accession,Assembly BioSample Attribute Name,Assembly BioSample Attribute Value,Assembly BioSample Biomaterial provider,Assembly BioSample BioProject Accession,Assembly BioSample Collected by,Assembly BioSample Collection date,Assembly BioSample Description Comment,Assembly BioSample Description Organism Name,Assembly BioSample Description Organism Taxonomic ID,Assembly BioSample Description Title,Assembly BioSample Development stage,Assembly BioSample Geographic location,Assembly BioSample Host,Assembly BioSample Identified by,Assembly BioSample Sample Identifiers Database,Assembly BioSample Sample Identifiers Value,Assembly BioSample IFSAC category,Assembly BioSample Isolate,Assembly BioSample Isolate name alias,Assembly BioSample Isolation source,Assembly BioSample Last updated,Assembly BioSample Latitude and Longitude,Assembly BioSample Models,Assembly BioSample Owner Contact Lab,Assembly BioSample Owner Name,Assembly BioSample Package,Assembly BioSample Project name,Assembly BioSample Publication date,Assembly BioSample Sample name,Assembly BioSample Status Status,Assembly BioSample Status When,Assembly BioSample Strain,Assembly BioSample Submission date,Assembly BioSample Tissue,Assembly Level,Assembly Name,Assembly Notes ,Assembly Paired Assembly Accession,Assembly Paired Assembly Name,Assembly Paired Assembly Status,Assembly Refseq Category,Assembly Release Date,Assembly Sequencing Tech,Assembly Status,Assembly Submitter,Assembly Type,Assembly Stats ATGC Count,Assembly Stats Contig L50,Assembly Stats Contig N50,Assembly Stats GC Count,Assembly Stats GC Percent,Assembly Stats Genome Coverage,Assembly Stats Number of Component Sequences,Assembly Stats Number of Contigs,Assembly Stats Number of Scaffolds,Assembly Stats Scaffold L50,Assembly Stats Scaffold N50,Assembly Stats Total Number of Chromosomes,Assembly Stats Total Sequence Length,Assembly Stats Total Ungapped Length,CheckM completeness,CheckM completeness percentile,CheckM contamination,CheckM marker set,CheckM marker set rank,CheckM species tax id,CheckM version,Current Accession,Organism Infraspecific Names Isolate,Organism Infraspecific Names Strain,Organism Name,Organism Taxonomic ID,Source Database,WGS project accession,WGS URL
GCA_017912535.1,Motiliproteus sediminis,81.69000244,GCA_003345655.1,5.760000229,type,Motiliproteus coralliicola,5.050000191,low_coverage,type,OK,"Assembly is the type_strain, no match is expected",,,,,,,Motiliproteus sediminis,Motiliproteus sediminis,,,,,,,,,,SPAdes v. 3.8.0,,,PRJNA690959,PRJNA690959,,Motiliproteus sediminis strain:HS6 Genome sequencing and assembly,SAMN17271117,strain,HS6,,PRJNA690959,,2014,,Motiliproteus sediminis,1468178,Microbe sample from Motiliproteus sediminis,,China: Yellow Sea,,,,HS6,,,,marine sediment,2021-01-15T16:39:21.355,,"Microbe, viral or environmental",,Quanzhou Normal University,Microbe.1.0,,2021-01-09T00:00:00.000,,live,2021-01-09T20:11:04.515,HS6,2021-01-09T20:11:04.513,,Contig,ASM1791253v1,,GCF_017912535.1,GCF_017912535.1-RS_2025_05_06,current,reference genome,2021-04-12,Illumina HiSeq,current,Quanzhou Normal University,haploid,3673986,3,453073,2167799,59,350,23,23,23,3,453073,,3673986,3673986,98.79000092,,3.25999999,Oceanospirillaceae,family,1468178,v1.2.3,GCA_017912535.1,,HS6,Motiliproteus sediminis,1468178,SOURCE_DATABASE_GENBANK,JAERQK01,https://www.ncbi.nlm.nih.gov/nuccore/JAERQK000000000.1
GCA_018066875.1,Thalassolituus oleivorans,98.33000183,GCA_000355675.1,88.62999725,type,Thalassolituus oleivorans,82.5,species_match,category_na,OK,na,98.33000183,GCA_000355675.1,88.62999725,type,Thalassolituus oleivorans MIL-1,82.5,Thalassolituus oleivorans,Thalassolituus oleivorans,48,,3338,12,3398,Best-placed reference protein set; GeneMarkS-2+,NCBI,2021-04-12,5.1,MEGAHIT v. 1.2.2,,,PRJNA686385,PRJNA686385,,Petroleum-driven enrichment of Labrador Sea cold adapted microbial communities,SAMN18558043,collection_date,2015-10-27,,PRJNA686385,,2015-10-27,Keywords: GSC:MIxS;MIMAG:6.0,Thalassolituus oleivorans,187493,MIMAG Metagenome-assembled Genome sample from Thalassolituus oleivorans,,Canada: Labrador Sea,,,,Lab_640_Crude_bin.9,,Lab_640_Crude_bin.9,,Microcosm inoculated with Labrador Shelf sediment and amended with petroleum hydrocarbons,2021-04-12T17:00:41.850,59.09 N 62.24 W,MIMAG.sediment,,University of Calgary,MIMAG.sediment.6.0,,2021-03-30T00:00:00.000,,live,2021-03-30T19:38:08.494,,2021-03-30T19:38:08.493,,Contig,ASM1806687v1,derived from metagenome,GCF_018066875.1,GCF_018066875.1-RS_2025_04_16,current,,2021-04-17,Illumina NovaSeq,current,University of Calgary,haploid,3649145,30,36506,1697005,46.5,10.838,150,150,150,30,36506,,3649145,3649145,95.69000244,16.66670036,1.980000019,Oceanospirillaceae,family,187493,v1.2.3,GCA_018066875.1,Lab_640_Crude_bin.9,,Thalassolituus oleivorans,187493,SOURCE_DATABASE_GENBANK,JAGPVS01,https://www.ncbi.nlm.nih.gov/nuccore/JAGPVS000000000.1
GCA_018145875.1,Marinomonas vulgaris,83.06999969,GCA_020532605.1,36.29000092,type,Marinomonas algarum,38.15000153,below_threshold_mismatch,type,OK,"Assembly is the type_strain, no match is expected",,,,,,,Marinomonas vulgaris,Marinomonas vulgaris,69,,3020,47,3136,Best-placed reference protein set; GeneMarkS-2+,NCBI,2021-04-21,5.1,SPAdes v. 3.10.1,,,PRJNA719922,PRJNA719922,,Marinomonas vulgaris strain:A79 Genome sequencing and assembly,SAMN18630596,strain,A79,,PRJNA719922,,2019-10,,Marinomonas vulgaris,2823372,Microbe sample from Marinomonas vulgaris,,"China: Tangtou Coast, Zhoushan",,,,A79,,,,oyster shells mixed with brown algae,2021-10-11T21:06:18.756,,"Microbe, viral or environmental",,Zhejiang Sci-Tech University,Microbe.1.0,,2021-04-08T00:00:00.000,,live,2021-04-08T13:58:50.999,A79,2021-04-06T08:11:25.140,,Scaffold,ASM1814587v1,,GCF_018145875.1,GCF_018145875.1-RS_2025_12_11,current,reference genome,2021-04-26,Illumina HiSeq,current,Zhejiang Sci-Tech University,haploid,3454235,8,121375,1589892,46,100,56,63,56,7,171779,,3454584,3454235,88.19999695,,1.710000038,Marinomonas,genus,2823372,v1.2.4,GCA_018145875.1,,A79,Marinomonas vulgaris,2823372,SOURCE_DATABASE_GENBANK,JAGSSV01,https://www.ncbi.nlm.nih.gov/nuccore/JAGSSV000000000.1
GCA_018336955.1,Marinomonas sp. A3A,98.06999969,GCA_019426345.1,91.18000031,type,Marinomonas lutimaris,88.66999817,genus_match,category_na,OK,na,,no-type,,no_type,na,,Marinomonas sp. A3A,Marinomonas sp. A3A,83,,4005,52,4140,Best-placed reference protein set; GeneMarkS+,NCBI,2017-12-21,4.3,SOAPdenovo v. 2017-06-18,,,PRJNA422810,PRJNA422810,,Marinomonas sp. Genome sequencing,SAMN08196883,strain,A3A,,,Francisco Nascimento,2014,,Marinomonas sp. A3A,2065312,Microbe sample from Marinomonas sp. A3A,,Portugal,Gelidium sp.,,,Marinomonas sp. A3A,,,,,2021-01-31T00:51:22.870,,"Microbe, viral or environmental",,UFSC,Microbe.1.0,,2021-01-31T00:51:22.870,,live,2021-01-31T00:51:22.870,A3A,2017-12-18T11:30:04.567,,Chromosome,ASM1833695v1,,GCF_018336955.1,GCF_018336955.1-RS_2024_06_11,current,,2021-05-11,Illumina MiSeq,current,UFSC,haploid,4418413,4,476519,1893043,43,100,1,15,1,1,4419923,1,4419923,4418423,97.81999969,,0.959999979,Marinomonas,genus,2065312,v1.2.2,GCA_018336955.1,,A3A,Marinomonas sp. A3A,2065312,SOURCE_DATABASE_GENBANK,,
GCA_018336975.1,Marinomonas sp. CT5,83.08000183,GCA_019426345.1,48,type,Marinomonas lutimaris,50.25999832,genus_match,category_na,OK,na,,no-type,,no_type,na,,Marinomonas sp. CT5,Marinomonas sp. CT5,90,,4371,56,4517,Best-placed reference protein set; GeneMarkS+,NCBI,2017-12-29,4.3,SOAPdenovo v. 2017-06-18,,,PRJNA422810,PRJNA422810,,Marinomonas sp. Genome sequencing,SAMN08214580,strain,CT5,,PRJNA422810,Francisco Nascimentoo,2014,,Marinomonas sp. CT5,2066133,Microbe sample from Marinomonas sp. CT5,,Portugal,,,,Marinomonas sp. CT5,,,,Codium tomentosum,2021-05-06T13:08:26.957,,"Microbe, viral or environmental",,UFSC,Microbe.1.0,,2021-01-31T00:00:00.000,,live,2021-01-31T00:50:18.290,CT5,2017-12-20T14:00:04.103,,Chromosome,ASM1833697v1,,GCF_018336975.1,GCF_018336975.1-RS_2024_06_11,current,,2021-05-11,Illumina MiSeq,current,UFSC,haploid,4757355,8,220299,2033716,42.5,100,1,38,1,1,4761082,1,4761082,4757372,98.26999664,,2.819999933,Marinomonas,genus,2066133,v1.2.2,GCA_018336975.1,,CT5,Marinomonas sp. CT5,2066133,SOURCE_DATABASE_GENBANK,,
GCA_018619275.1,Neptunomonas phycophila,98.36000061,GCA_001922575.1,93.58999634,type,Neptunomonas phycophila,92.69000244,species_match,category_na,OK,na,98.36000061,GCA_001922575.1,93.58999634,type,Neptunomonas phycophila,92.69000244,Neptunomonas phycophila,Neptunomonas phycophila,68,,3453,10,3531,Best-placed reference protein set; GeneMarkS-2+,NCBI,2021-05-27,5.2,CLC NGS Cell v. 10.1.1,,,PRJNA414740,PRJNA414740,,Marine bacteria isolated from model marine particles,SAMN19351436,strain,3B05,,PRJNA414740,,2013-10-07,Keywords: GSC:MIxS;MIGS:6.0,Neptunomonas phycophila,1572645,MIGS Cultured Bacterial/Archaeal sample from Neptunomonas phycophila,,"USA:Massachusetts, Nahant, Canoe Beach",,,,3B05,,,,enrichment on artificial chitin hydrogel particle,2021-05-26T12:20:06.348,42.25 N 70.54 W,"MIGS.ba,MIGS/MIMS/MIMARKS.water",,Massachusetts Institute of Technology,MIGS.ba.water.6.0,,2021-05-26T00:00:00.000,,live,2021-05-26T12:20:06.348,3B05,2021-05-26T12:20:06.348,,Scaffold,ASM1861927v1,,GCF_018619275.1,GCF_018619275.1-RS_2025_05_08,current,,2021-06-01,Illumina MiSeq,current,Massachusetts Institute of Technology,haploid,3839211,4,408049,1744217,45.5,90,20,21,20,3,478047,,3839342,3839211,99.83999634,60,1.889999986,Oceanospirillaceae,family,1572645,v1.2.3,GCA_018619275.1,,3B05,Neptunomonas phycophila,1572645,SOURCE_DATABASE_GENBANK,JAHHDZ01,https://www.ncbi.nlm.nih.gov/nuccore/JAHHDZ000000000.1
GCA_018860855.1,Amphritea atlantica,85.95999908,GCA_003957515.1,66.87999725,type,Amphritea opalescens,72.72000122,below_threshold_mismatch,category_na,Inconclusive,na,80.94000244,GCA_024347255.1,22.12999916,type,Amphritea atlantica,20.65999985,Amphritea atlantica,Amphritea atlantica,76,,3915,22,4013,Best-placed reference protein set; GeneMarkS-2+,NCBI,2021-06-07,5.2,CLC NGS Cell v. 10.1.1,,,PRJNA478695,PRJNA478695,,Modular assembly of carbohydrate-degrading microbial communities in the ocean,SAMN19350932,strain,C1R06,,PRJNA478695,,2015-11,Keywords: GSC:MIxS;MIGS:6.0,Amphritea atlantica,355243,MIGS Cultured Bacterial/Archaeal sample from Amphritea atlantica,,"USA:Massachusetts, Nahant, Canoe Beach",,,,C1R06,,,,carageenan 40-100 m particle (artificial) early colonization,2021-05-26T11:47:07.795,42.25 N 70.54 W,"MIGS.ba,MIGS/MIMS/MIMARKS.water",,Massachusetts Institute of Technology,MIGS.ba.water.6.0,,2021-05-26T00:00:00.000,,live,2021-05-26T11:47:07.795,C1R06,2021-05-26T11:47:07.795,,Scaffold,ASM1886085v1,,GCF_018860855.1,GCF_018860855.1-RS_2025_07_18,current,,2021-06-12,Illumina HiSeq,current,Massachusetts Institute of Technology,haploid,4484993,10,198906,2137884,47.5,35.93,49,54,49,9,209944,,4486358,4484993,99.93000031,,2.900000095,Oceanospirillaceae,family,355243,v1.2.4,GCA_018860855.1,,C1R06,Amphritea atlantica,355243,SOURCE_DATABASE_GENBANK,JAHKQE01,https://www.ncbi.nlm.nih.gov/nuccore/JAHKQE000000000.1
GCA_019426345.1,Marinomonas lutimaris,88.41000366,GCA_900129155.1,76.44999695,type,Marinomonas polaris,69.01000214,below_threshold_mismatch,type,OK,"Assembly is the type_strain, no match is expected",,,,,,,Marinomonas lutimaris,Marinomonas lutimaris,,,,,,,,,,SOAPdenovo v. V2.04,,,PRJNA736177,PRJNA736177,,Marinomonas lutimaris strain:E165 Genome sequencing and assembly,SAMN19612651,strain,E165,,PRJNA736177,,2021-01-22,,Marinomonas lutimaris,2846746,Microbe sample from Marinomonas lutimaris,,China: East of China Sea,,,,E165,,,,sediment,2022-05-16T21:06:37.199,,"Microbe, viral or environmental",,Tongji University,Microbe.1.0,,2021-07-31T00:00:00.000,,live,2021-07-31T18:40:04.800,E165,2021-06-09T01:24:04.256,,Contig,ASM1942634v1,,GCF_019426345.1,GCF_019426345.1-RS_2025_05_21,current,reference genome,2021-07-30,Illumina HiSeq,current,Tongji University,haploid,4543580,8,196013,1947973,43,260,66,66,66,8,196013,,4543612,4543612,97.48999786,,1.700000048,Marinomonas,genus,2846746,v1.2.3,GCA_019426345.1,,E165,Marinomonas lutimaris,2846746,SOURCE_DATABASE_GENBANK,JAHLLW01,https://www.ncbi.nlm.nih.gov/nuccore/JAHLLW000000000.1
GCA_019740315.1,Oceanobacter mangrovi,82.62000275,GCA_000422845.1,16.42000008,type,Oceanobacter kriegii,18.63999939,below_threshold_mismatch,type,OK,"Assembly is the type_strain, no match is expected",,,,,,,Oceanobacter mangrovi,Oceanobacter mangrovi,,,,,,,,,,SPAdes v. 3.8.0,,,PRJNA749380,PRJNA749380,,Genome of coastal bacterial isolates,SAMN20368532,strain,SM2-42,Zhaobin Huang,PRJNA749380,Zhaobin Huang,2019-09,,Oceanobacter mangrovi,2862510,Microbe sample from Oceanobacter mangrovi,,China: Quanzhou Bay,,Qingqing Xiao,,SM2-42,,,,mangrove sediment,2022-02-13T21:05:10.991,,"Microbe, viral or environmental",,Quanzhou Normal University,Microbe.1.0,,2021-07-24T00:00:00.000,,live,2021-07-26T09:10:05.482,SM2-42,2021-07-24T04:20:08.466,,Contig,ASM1974031v1,,GCF_019740315.1,GCF_019740315.1-RS_2025_05_06,current,reference genome,2021-08-24,Illumina HiSeq,current,Quanzhou Normal University,haploid,5115008,4,434753,2779159,54.5,200,30,30,30,4,434753,,5115008,5115008,99.66999817,,2.569999933,Oceanospirillaceae,family,2862510,v1.2.3,GCA_019740315.1,,SM2-42,Oceanobacter mangrovi,2862510,SOURCE_DATABASE_GENBANK,JAHXZR01,https://www.ncbi.nlm.nih.gov/nuccore/JAHXZR000000000.1
GCA_020320395.1,Thalassolituus marinus,82.86000061,GCA_020447205.1,16.81999969,type,Thalassolituus alkanivorans,15.06000042,below_threshold_mismatch,type,OK,"Assembly is the type_strain, no match is expected",,,,,,,Thalassolituus marinus,Thalassolituus marinus,61,,3556,25,3642,Best-placed reference protein set; GeneMarkS-2+,NCBI,2020-12-10,5.0,Velvet v. 1.2.10,,,PRJNA637151,PRJNA637151,,Marine carbon metabolism bacteria in the South China Sea,SAMN16980773,strain,IMCC1826,,PRJNA637151,,2005-01-01,Keywords: GSC:MIxS;MIGS:6.0,Thalassolituus marinus,671053,High-quality draft genome sequence of Thalassolituus marinus IMCC1826T,,South Korea,,,,High-quality draft genome sequence of Thalassolituus marinus IMCC1826T,,,,,2021-10-07T18:40:09.087,37.256 N 126.225 E,"MIGS.ba,MIGS/MIMS/MIMARKS.water",,"Third Institute of Oceanography, Ministry of Natural Resources, P.R.China",MIGS.ba.water.6.0,,2021-10-07T18:40:09.087,,live,2021-10-07T18:40:09.087,IMCC1826,2020-12-02T10:07:05.767,,Scaffold,ASM2032039v1,,GCF_020320395.1,GCF_020320395.1-RS_2025_11_23,current,reference genome,2021-10-06,Illumina NovaSeq,current,"Third Institute of Oceanography, Ministry of Natural Resources, P.R.China",haploid,3906000,21,61127,2072650,53,1378,106,138,106,17,75968,,3907227,3906000,99.01999664,,3.569999933,Oceanospirillaceae,family,671053,v1.2.4,GCA_020320395.1,,IMCC1826,Thalassolituus marinus,671053,SOURCE_DATABASE_GENBANK,JAEDAH01,https://www.ncbi.nlm.nih.gov/nuccore/JAEDAH000000000.1
GCA_020320405.1,Thalassolituus sp. ST750PaO-4,97.66000366,GCA_020447205.1,91.66000366,type,Thalassolituus alkanivorans,89.91000366,genus_match,category_na,OK,na,,no-type,,no_type,na,,Thalassolituus sp. ST750PaO-4,Thalassolituus sp. ST750PaO-4,55,,3835,13,3903,Best-placed reference protein set; GeneMarkS-2+,NCBI,2020-06-10,4.11,Velvet v. 1.2.03,,,PRJNA637151,PRJNA637151,,Marine carbon metabolism bacteria in the South China Sea,SAMN15097647,strain,ST750PaO-4,,PRJNA637151,,2019-06-19,Keywords: GSC:MIxS;MIGS:6.0,Thalassolituus sp. ST750PaO-4,2742965,MIGS Cultured Bacterial sample from Thalassolituus sp. ST750PaO-4,,China: South China Sea,,,,High-quality draft genome sequence of Thalassolituus sp. ST750PaO-4,,,,sea water,2021-10-07T18:40:09.243,18 N 116 E,"MIGS.ba,MIGS/MIMS/MIMARKS.water",,"Third Institute of Oceanography, Ministry of Natural Resources, P.R.China",MIGS.ba.water.6.0,,2021-10-07T18:40:09.243,,live,2021-10-07T18:40:09.243,ST750PaO-4,2020-06-03T23:37:05.957,,Scaffold,ASM2032040v1,,GCF_020320405.1,GCF_020320405.1-RS_2025_09_30,current,,2021-10-06,Illumina NovaSeq,current,"Third Institute of Oceanography, Ministry of Natural Resources, P.R.China",haploid,4279596,7,280015,2273466,53,909,13,37,13,3,778286,,4280721,4279596,98.94999695,,2.49000001,Oceanospirillaceae,family,2742965,v1.2.4,GCA_020320405.1,,ST750PaO-4,Thalassolituus sp. ST750PaO-4,2742965,SOURCE_DATABASE_GENBANK,JABVCB01,https://www.ncbi.nlm.nih.gov/nuccore/JABVCB000000000.1
GCA_020340755.1,Thalassolituus oleivorans 4BN06-13,98.27999878,GCA_000355675.1,91.13999939,type,Thalassolituus oleivorans,85.72000122,species_match,category_na,OK,na,98.27999878,GCA_000355675.1,91.13999939,type,Thalassolituus oleivorans MIL-1,85.72000122,Thalassolituus oleivorans 4BN06-13,Thalassolituus oleivorans,54,,3230,78,3362,Best-placed reference protein set; GeneMarkS+,NCBI,2014-04-22,2.5 (rev. 431993),SOAPdenovo v. 1.05,,,PRJNA234471,PRJNA234471,,Thalassolituus oleivorans 4BN06-13 Genome sequencing and assembly,SAMN02584013,env_package,MIGS/MIMS/MIMARKS.sediment,,PRJNA188383,,2010-08-02,Keywords: GSC:MIxS;MIGS:6.0,Thalassolituus oleivorans 4BN06-13,1447906,Cultured Bacterial/Archaeal sample for Thalassolituus oleivorans strain 4BN06-13,,Arctic Ocean: Canada Basin,,,,4BN06-13,,,,,2021-10-07T06:25:55.597,81.470000 N 164.940000 W,"MIGS.ba,MIGS/MIMS/MIMARKS.sediment",,"Third Institute of Oceanography,State Oceanic Administration",MIGS.ba.sediment.6.0,PRJNA188383,2018-12-31T00:00:00.000,,live,2018-12-31T00:54:48.110,4BN06-13,2014-01-14T02:08:09.743,,Contig,ASM2034075v1,,GCF_020340755.1,GCF_020340755.1-RS_2025_03_31,current,,2021-10-07,Illumina HiSeq,current,"Third Institute of Oceanography,State Oceanic Administration",haploid,3686956,7,198288,1715273,46.5,457.58,65,65,65,7,198288,,3686956,3686956,97.05999756,41.66669846,1.330000043,Oceanospirillaceae,family,187493,v1.2.3,GCA_020340755.1,,4BN06-13,Thalassolituus oleivorans 4BN06-13,1447906,SOURCE_DATABASE_GENBANK,JALE01,https://www.ncbi.nlm.nih.gov/nuccore/JALE00000000.1
GCA_020447205.1,Thalassolituus alkanivorans,92.11000061,GCA_025345565.1,80.23000336,type,Thalassolituus hydrocarboniclasticus,86.06999969,below_threshold_mismatch,type,OK,"Assembly is the type_strain, no match is expected",,,,,,,Thalassolituus alkanivorans,Thalassolituus alkanivorans,47,,3909,37,3993,Best-placed reference protein set; GeneMarkS-2+,NCBI,2021-10-07,5.3,Velvet v. 1.2.10,,,PRJNA768660,PRJNA768660,,some strains isolated from the Mariana trench,SAMN22060404,strain,TMPB967,,PRJNA768660,,2020-07,,Thalassolituus alkanivorans,2881055,Microbe sample from Thalassolituus alkanivorans,,Pacific Ocean: Mariana Trench,,,,TMPB967,,,,missing,2022-06-05T21:07:51.210,,"Microbe, viral or environmental",,fudan university,Microbe.1.0,,2021-10-05T00:00:00.000,,live,2021-10-06T16:27:35.582,TMPB967,2021-10-05T08:41:05.163,,Scaffold,ASM2044720v1,,GCF_020447205.1,GCF_020447205.1-RS_2025_12_11,current,reference genome,2021-10-13,Illumina NovaSeq,current,fudan university,haploid,4363202,14,133647,2316197,53,60,49,99,49,5,334148,,4371126,4363202,98.62000275,50,2.980000019,Oceanospirillaceae,family,2881055,v1.2.4,GCA_020447205.1,,TMPB967,Thalassolituus alkanivorans,2881055,SOURCE_DATABASE_GENBANK,JAJAEL01,https://www.ncbi.nlm.nih.gov/nuccore/JAJAEL000000000.1
GCA_020447245.1,Thalassolituus alkanivorans,99.98999786,GCA_020447205.1,99.26000214,type,Thalassolituus alkanivorans,97.59999847,species_match,category_na,OK,na,99.98999786,GCA_020447205.1,99.26000214,type,Thalassolituus alkanivorans,97.59999847,Thalassolituus alkanivorans,Thalassolituus alkanivorans,52,,3843,35,3930,Best-placed reference protein set; GeneMarkS-2+,NCBI,2021-10-07,5.3,Velvet v. 1.2.10,,,PRJNA768660,PRJNA768660,,some strains isolated from the Mariana trench,SAMN22060403,strain,TTPB476,,PRJNA768660,,2020-07-07,,Thalassolituus alkanivorans,2881055,Microbe sample from Thalassolituus alkanivorans,,Pacific Ocean: Mariana Trench,,,,TTPB476,,,,missing,2022-06-05T21:07:51.178,,"Microbe, viral or environmental",,fudan university,Microbe.1.0,,2021-10-05T00:00:00.000,,live,2021-10-06T16:27:35.563,TTPB476,2021-10-05T08:41:05.123,,Scaffold,ASM2044724v1,,GCF_020447245.1,GCF_020447245.1-RS_2026_01_27,current,,2021-10-13,Illumina NovaSeq,current,fudan university,haploid,4290056,17,87651,2275525,53,60,93,111,93,11,127902,,4292537,4290056,97.30999756,,2.980000019,Oceanospirillaceae,family,2881055,v1.2.4,GCA_020447245.1,,TTPB476,Thalassolituus alkanivorans,2881055,SOURCE_DATABASE_GENBANK,JAJAEM01,https://www.ncbi.nlm.nih.gov/nuccore/JAJAEM000000000.1
GCA_020694005.1,Marinomonas profundi,99.98999786,GCA_012584435.1,97.90000153,type,Marinomonas profundi,99.84999847,species_match,type,OK,na,99.98999786,GCA_012584435.1,97.90000153,type,Marinomonas profundi,99.84999847,Marinomonas profundi,Marinomonas profundi,105,,3258,36,3399,Best-placed reference protein set; GeneMarkS-2+,NCBI,2021-04-13,5.1,ABySS v. 2.0.2; CANU v. 1.7; GapCloser v. 1.12,,,PRJNA719279,PRJNA719279,,Marinomonas profundi strain:M1K-6 | isolate:seawater Genome sequencing,SAMN18594036,strain,M1K-6,,PRJNA719279,,2019-03,Keywords: GSC:MIxS;MIGS:6.0,Marinomonas profundi,2726122,MIGS Cultured Bacterial/Archaeal sample from Marinomonas profundi,,Pacific Ocean:Mariana Trench,,,,strain M1K-6T,,,,seawater,2021-11-15T12:52:25.914,11.35 N 142.28 E,MIGS.ba,,Shandong University,MIGS.ba.6.0,,2021-11-02T00:00:00.000,,live,2021-11-02T18:40:25.970,M1K-6,2021-04-02T06:06:03.593,,Complete Genome,ASM2069400v1,,GCF_020694005.1,GCF_020694005.1-RS_2025_12_13,current,reference genome,2021-11-01,Illumina HiSeq; PacBio,current,Shandong University,haploid,3648059,1,3648059,1680808,46,600,1,1,1,1,3648059,1,3648059,3648059,92.55999756,,0.980000019,Marinomonas,genus,2726122,v1.2.4,GCA_020694005.1,,M1K-6,Marinomonas profundi,2726122,SOURCE_DATABASE_GENBANK,,
GCA_020781945.1,Marinomonas communis,97.48999786,GCA_004363305.1,92.23999786,type,Marinomonas communis,87.69000244,species_match,category_na,OK,na,97.48999786,GCA_004363305.1,92.23999786,type,Marinomonas communis,87.69000244,Marinomonas communis,Marinomonas communis,69,,3380,20,3469,Best-placed reference protein set; GeneMarkS-2+,NCBI,2021-11-01,5.3,SPAdes v. v3.15.2,,,PRJNA770179,PRJNA770179,,Bacteria with nitrification potential isolated from 17 seawater layers off the Coast of China Genome sequencing and assembly,SAMN22211680,strain,FXH-73,,PRJNA770179,,2021-10-08T22:45:08Z,,Marinomonas communis,28254,FXH-73'sgenome,,China:Wuhan,,,,sampleA_FXH-73,,,,seawater layers,2021-10-14T23:51:29.467,,"Microbe, viral or environmental",,Institute of Oceanology Chinese Academy of Sciences,Microbe.1.0,,2021-10-11T00:00:00.000,,live,2021-10-11T08:58:04.332,FXH-73,2021-10-11T08:58:04.333,,Contig,ASM2078194v1,,GCF_020781945.1,GCF_020781945.1-RS_2026_01_02,current,,2021-11-06,Illumina NovaSeq,current,Institute of Oceanology Chinese Academy of Sciences,haploid,3663808,7,212048,1680018,46,200,71,71,71,7,212048,,3663808,3663808,92.19999695,90,4.650000095,Marinomonas,genus,28254,v1.2.4,GCA_020781945.1,,FXH-73,Marinomonas communis,28254,SOURCE_DATABASE_GENBANK,JAJGNH01,https://www.ncbi.nlm.nih.gov/nuccore/JAJGNH000000000.1
GCA_022343685.1,Marinobacterium sediminicola,99.98999786,GCA_039523255.1,98.93000031,type,Marinobacterium sediminicola,99.98000336,species_match,category_na,OK,na,99.98999786,GCA_039523255.1,98.93000031,type,Marinobacterium sediminicola,99.98000336,Marinobacterium sediminicola,Marinobacterium sediminicola,99,,3162,18,3279,Best-placed reference protein set; GeneMarkS-2+,NCBI,2022-02-11,6.0,FALCON v. 0.3.0; Celera Assembler v. 8.3,,,PRJNA779232,PRJNA779232,,Marinobacterium sediminicola CGMCC 1.7287 Genome sequencing and assembly,SAMN23019646,strain,1.7287,,PRJNA779232,,2008-04,Keywords: GSC:MIxS;MIGS:6.0,Marinobacterium sediminicola,518898,Microbe sample from Marinobacterium sediminicola,,China: East Sea,,,,M. sediminicola 1.7287,,,,marine sediment of the East China Sea,2024-12-10T09:48:47.810,27.312 N 120.567 E,"MIGS.ba,MIGS/MIMS/MIMARKS.sediment",,Beijing University of Chemical Technology,MIGS.ba.sediment.6.0,,2021-11-10T00:00:00.000,,live,2021-11-10T07:32:03.778,1.7287,2021-11-10T07:32:03.776,,Complete Genome,ASM2234368v1,,GCF_022343685.1,GCF_022343685.1-RS_2025_12_15,current,,2022-02-20,Illumina HiSeq; PacBio,current,Beijing University of Chemical Technology,haploid,3554135,1,3554135,1995462,56,346,1,1,1,1,3554135,1,3554135,3554135,87.06999969,,3.579999924,Marinobacterium,genus,518898,v1.2.4,GCA_022343685.1,,1.7287,Marinobacterium sediminicola,518898,SOURCE_DATABASE_GENBANK,,
