Assembly Accession,Genus,Simplified Genus Name,Classification,Type ,nifHDKENB,Completeness,Contamination,Coding_Density,Contig_N50,Average_Gene_Length,Genome_Size,GC_Content,Total_Coding_Sequences,Total_Contigs,Max_Contig_Length,Environment,BioSample Accession,BioProject Accession,BioSample Geographic Location,BioSample Latitude-Longitude,BioSample Isolation Source
GCA_913052225.1*,uncultured Thalassolituus sp. ERR599100 bin 108,uncultured Thalassolituus sp. 4,Putative diazotroph,MAG,Yes,93.49,1.86,0.898,24402,311.375748,3294904,0.55,3175,162,92526,Unspecified seawater,SAMEA9695045,PRJEB37807,Not provided,"25.6168,-88.4532",Marine metagenome
GCA_937895325.1*,uncultured Thalassolituus sp. ERR599039 bin 55,uncultured Thalassolituus sp. 5,Putative diazotroph,MAG,Yes,100,0.11,0.893,132087,332.204645,4318164,0.53,3875,55,299001,Unspecified seawater,SAMEA14075148,PRJEB51078,Not provided,"-2.0133,-84.589",Marine metagenome
GCA_937902495.1*,uncultured Thalassolituus sp. ERR598995 bin 88,uncultured Thalassolituus sp. 6,Putative diazotroph,MAG,Yes,100,0,0.898,136757,322.748029,3549921,0.55,3298,36,341150,Unspecified seawater,SAMEA14075055,PRJEB51078,Not provided,"31.5168,-159.046",Marine metagenome
GCA_963998775.1*,uncultured Thalassolituus sp. ERR599039 maxbin 219,uncultured Thalassolituus sp. 7,Putative diazotroph,MAG,Yes,100,0.11,0.894,126182,332.020812,4332405,0.53,3892,59,299001,Unspecified seawater,SAMEA115420355,PRJEB22493,Not provided,"-2.0133,-84.589",Marine metagenome
GCA_963999285.1,uncultured Thalassolituus sp. ERR599064 binner 23,uncultured Thalassolituus sp. 8,Non-diazotroph,MAG,No ,87.28,0.4,0.906,31890,314.492063,3078802,0.44,2961,150,77606,Unspecified seawater,SAMEA115420120,PRJEB22493,Not provided,"-34.0614,-73.1066",Marine metagenome
GCA_964007845.1*,uncultured Thalassolituus sp. ERR598980 binner 123,uncultured Thalassolituus sp. 9,Putative diazotroph,MAG,Yes,99.99,0,0.897,147631,323.696148,3504649,0.55,3245,35,319428,Unspecified seawater,SAMEA115419777,PRJEB22493,Not provided,"31.528,-159.0224",Marine metagenome
GCA_964012525.1*,uncultured Thalassolituus sp. ERR594305 binner 12,uncultured Thalassolituus sp. 10,Putative diazotroph,MAG,Yes,92.55,0.49,0.898,25851,319.101755,3878315,0.54,3646,216,93932,Unspecified seawater,SAMEA115421870,PRJEB51168,Not provided,"-8.9729,-139.2393",Marine metagenome
GCF_000355675.1,Thalassolituus oleivorans MIL-1,Thalassolituus oleivorans MIL-1,Non-diazotroph,Isolate,No,99.99,0.16,0.901,3920328,328.893694,3920328,0.47,3584,1,3920328,Marine sediment,SAMEA2272589,PRJEB1425,"Italy:Sicily, Milazzo harbour",Not provided,Seawater sediment collected from a depth of about 5 meters
GCF_000582555.1,Thalassolituus oleivorans R6-15,Thalassolituus oleivorans R6-15,Non-diazotroph,Isolate,No,99.99,0.04,0.901,3764053,329.728014,3764053,0.47,3434,1,3764053,Crude oil enrichment,SAMN03081496,PRJNA170393,Arctic Ocean,69.5000 N 168.9833 W,Surface Seawater
GCF_001932535.1,Thalassolituus oleivorans K188,Thalassolituus oleivorans K188,Non-diazotroph,Isolate,No,99.98,0.18,0.904,3909699,329.511453,3909699,0.47,3580,1,3909699,Unspecified seawater,SAMN02687544,PRJNA240964,"Russia: Barents Sea, Kolguev Island",69.083 N 49.25 E,Seawater
GCF_002297765.1,Thalassolituus sp. UBA675,Thalassolituus sp. UBA675,Non-diazotroph,MAG,No,95.02,0.03,0.913,162781,333.926471,3351562,0.52,3060,33,387499,Unspecified seawater,SAMN06455246,PRJNA348753,Not provided,Not provided,"Saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"
GCF_002324005.1*,Thalassolituus sp. UBA1505,Thalassolituus sp. UBA1505,Putative diazotroph,MAG,Yes,93.54,1.19,0.857,26130,308.870648,4248465,0.53,3935,230,105954,Unspecified seawater,SAMN06456431,PRJNA348753,Not provided,Not provided,"Saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"
GCF_002324035.1,Thalassolituus sp. UBA1503,Thalassolituus sp. UBA1503,Non-diazotroph,MAG,No ,99.75,0.02,0.913,126854,333.151091,3357244,0.52,3071,42,387504,Unspecified seawater,SAMN06456425,PRJNA348753,Not provided,Not provided,"Saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"
GCF_002331105.1,Thalassolituus sp. UBA2107,Thalassolituus sp. UBA2107,Non-diazotroph,MAG,No ,88.15,0.63,0.89,23663,309.961538,3254323,0.52,3120,211,70546,Unspecified seawater,SAMN06450589,PRJNA348753,Not provided,Not provided,"Saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"
GCF_002335285.1,Thalassolituus sp. UBA2009,Thalassolituus sp. UBA2009,Non-diazotroph,MAG,No ,91.35,0.3,0.866,40303,308.128474,4369408,0.53,4102,167,170999,Hydrothermal vent,SAMN06454197,PRJNA348753,Atlantic Ocean:Mid Cayman Rise,Not provided,Von Damm hydrothermal vent plume at depth 2041m
GCF_002336415.1,Thalassolituus sp. UBA1965,Thalassolituus sp. UBA1965,Non-diazotroph,MAG,No ,89.08,0.12,0.903,43439,326.394268,3097101,0.52,2861,104,126027,Unspecified seawater,SAMN06455227,PRJNA348753,Not provided,Not provided,"Saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"
GCF_002339775.1,Thalassolituus sp. UBA2590,Thalassolituus sp. UBA2590,Non-diazotroph,MAG,No ,93.38,0.59,0.896,25556,314.552073,3321550,0.52,3159,189,85813,Unspecified seawater,SAMN06451494,PRJNA348753,Not provided,Not provided,"Saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"
GCF_002377545.1,Thalassolituus sp. UBA3500,Thalassolituus sp. UBA3500,Non-diazotroph,MAG,No ,95.02,0.01,0.898,127820,323.292078,3605984,0.51,3345,60,329715,Unspecified seawater,SAMN06450556,PRJNA348753,Not provided,Not provided,"Saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"
GCF_002433655.1*,Thalassolituus sp. UBA6592,Thalassolituus sp. UBA6592,Putative diazotroph,MAG,Yes,87.62,0.93,0.867,34975,314.36063,4137207,0.53,3810,195,92770,Unspecified seawater,SAMN06451399,PRJNA348753,Not provided,Not provided,"Saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"
GCF_007785795.1,Thalassolituus sp. C2-1 VNIL01,Thalassolituus sp. C2-1 VNIL01,Non-diazotroph,Isolate,No,100,2.57,0.899,757025,334.419305,4363693,0.53,3916,24,902109,Deep-sea sediment,SAMN12292084,PRJNA555094,Pacific Ocean: Mariana trench,Not provided,Deep-sea sediment
GCF_015665225.1,Thalassolituus oleivorans C1510516,Thalassolituus oleivorans C1510516,Non-diazotroph,MAG,No,100,0.23,0.906,122390,322.309256,3878442,0.47,3641,45,389448,Hydrocarbon enrichment,SAMN16454468,PRJNA657625,Atlantic Ocean,29.04 N 69.44 W,Pentadecane enrichment inoculated with Seawater
GCF_015665495.1,Thalassolituus oleivorans C1554552,Thalassolituus oleivorans C1554552,Non-diazotroph,MAG,No,99.98,0.05,0.907,126959,328.417151,3730513,0.47,3440,45,243544,Hydrocarbon enrichment,SAMN16454454,PRJNA657625,Atlantic Ocean,36.50 N 71.23 W,Pentadecane enrichment inoculated with Seawater
GCF_018066875.1,Thalassolituus oleivorans Lab 640 Crude bin 9,Thalassolituus oleivorans Lab 640,Non-diazotroph,MAG,No,94.89,0.28,0.911,36506,326.965527,3649145,0.47,3394,150,161010,Hydrocarbon enrichment,SAMN18558043,PRJNA686385,Canada: Labrador Sea,59.09 N 62.24 W,Microcosm inoculated with Labrador Shelf sediment and amended with petroleum hydrocarbons
GCF_020320395.1,Thalassolituus marinus IMCC1826,Thalassolituus marinus IMCC1826,Non-diazotroph,Isolate,No,99.99,0.89,0.902,75968,324.543149,3907227,0.53,3627,106,195099,Unspecified seawater,SAMN16980773,PRJNA637151,"South Korea, Incheon",37.256 N 126.225 E,Surface Seawater
GCF_020320405.1,Thalassolituus sp. ST750PaO-4,Thalassolituus sp. ST750PaO-4,Non-diazotroph,Isolate,No,99.99,0.39,0.898,778286,332.237578,4280721,0.53,3864,13,898804,Unspecified seawater,SAMN15097647,PRJNA637151,China: South China Sea,18 N 116 E,Seawater
GCF_020340755.1,Thalassolituus oleivorans 4BN06-13,Thalassolituus oleivorans 4BN06-13,Non-diazotroph,Isolate,No,99.98,0.09,0.905,198288,326.027493,3686956,0.47,3419,65,414947,Arctic deep-sea sediment,SAMN02584013,PRJNA234471,Arctic Ocean: Canada Basin,81.470000 N 164.940000 W,Arctic deep-sea sediment
GCF_020447205.1,Thalassolituus alkanivorans TMPB967,Thalassolituus alkanivorans TMPB967,Non-diazotroph,Isolate,No,99.99,0.26,0.894,334148,331.217623,4371126,0.53,3938,49,595422,Deep seawater,SAMN22060404,PRJNA768660,Pacific Ocean: Mariana Trench,"141.658° E, 11.158° N",Deep-sea water column
GCF_020447245.1,Thalassolituus alkanivorans TTPB476,Thalassolituus alkanivorans TTPB476,Non-diazotroph,Isolate,No,99.95,0.34,0.896,127902,331.314241,4292537,0.53,3876,93,411625,Deep seawater,SAMN22060403,PRJNA768660,Pacific Ocean: Mariana Trench,"142.188° E, 11.327° N",Deep-sea water column
GCF_022832715.1,Thalassolituus sp. C2-1,Thalassolituus sp. C2-1,Non-diazotroph,Isolate,No,100,0.32,0.896,4317714,336.20328,4317714,0.53,3842,1,4317714,Deep-sea sediment,SAMN12292084,PRJNA821423,Pacific Ocean: Mariana trench,"142.274°E, 10.761°N",Deep-sea sediment
GCF_025318105.1,Thalassolituus pacificus 59MF3M-4,Thalassolituus pacificus 59MF3M-4,Non-diazotroph,Isolate,No,100,0.43,0.892,520478,331.081292,4266791,0.53,3838,33,693005,Marine sponge,SAMN30544767,PRJNA874341,Pacific Ocean: western Pacific Ocean,13 N 134 E,Marine sponge
GCF_025345565.1,Thalassolituus hydrocarboniclasticus alknpb1M-1,Thalassolituus hydrocarboniclasticus alknpb1M-1,Non-diazotroph,Isolate,No,100,0.34,0.897,4067951,339.114389,4067951,0.53,3593,1,4067951,Deep-sea basin,SAMN15097743,PRJNA637151,China: South China Sea,18.4925 N 116.2718 E,Deep-sea basin
GCF_026626885.1*,Parathalassolituus penaei G-43,Parathalassolituus penaei G-43,Putative diazotroph,Isolate,Yes,99.89,0.18,0.875,237664,323.94213,4444085,0.55,4009,59,459217,Aquaculture,SAMN31857349,PRJNA904837,China:Dongxing,21.53 N 107.97 E,Aquaculture farm
GCF_027018755.1,Thalassolituus sp. 131-447metabat2scaf2bin069,Thalassolituus sp. 131-447,Non-diazotroph,MAG,No,94.83,0.86,0.912,140424,328.408642,3492877,0.52,3240,52,338375,Hydrothermal vent,SAMN27359747,PRJNA821212,Pacific Ocean: Lau Basin,Not provided,Marine hydrothermal vent
GCF_029210095.1,Thalassolituus oleivorans bintooxhcr2.009,Thalassolituus oleivorans bintooxhcr2.009,Non-diazotroph,MAG,No,97.86,0.1,0.905,60400,332.93662,3600581,0.47,3266,105,177477,Hydrocarbon enrichment,SAMN33612208,PRJNA938176,USA: Damariscotta River in front of the Bigelow Laboratory for Ocean Sciences,43.860501 N 69.578169 W,"Four week timepoint of microcosm treated with photo-oxidized crude oil after inoculation with natural surface Seawater, biological replicate 2"
GCF_030867545.1,Thalassolituus sp. ETNP8MAG27,Thalassolituus sp. ETNP8MAG27,Non-diazotroph,MAG,No,92.76,1.21,0.916,22754,320.330506,3087810,0.52,2947,214,106713,Anoxic seawater,SAMN34270887,PRJNA955304,Pacific Ocean:Eastern Tropical North Pacific ODZ,17.21 N 110.71 W,Anoxic Seawater
GCF_034111725.1*,Thalassolituus sp. MAG485,Thalassolituus sp. MAG485,Putative diazotroph,MAG,Yes,89.24,0.28,0.907,51581,318.863476,3278734,0.47,3113,88,143022,Sea ice,SAMN37641321,PRJNA1011243,"Canada: Coral Harbor, Hudson Bay",63.99416 N 83.33861 W,Bottom 10cm of land fast sea ice
GCF_040119275.1,Thalassolituus sp. SIP5Bin19,Thalassolituus sp. SIP5Bin19,Non-diazotroph,MAG,No,86.77,0.1,0.907,172867,329.991746,3431868,0.47,3150,27,379976,Hydrocarbon enrichment,SAMN26664037,PRJNA816150,United Kingdom: Faroe Shetland Channel,60.633333 N 4.900000 W,Isotopically labeled n-hexadecane aerobic FSC enrichments from water column Seawater sample
GCF_040372045.1,Thalassolituus maritimus 5NW40-0001,Thalassolituus maritimus 5NW40-0001,Non-diazotroph,Isolate,No,99.86,0,0.915,422409,346.89974,3498243,0.52,3082,29,866142,Unspecified seawater,SAMD00755681,PRJDB17481,"Japan:Iwate, Shimohei, Yamada Bay",39.468 N 141.984 E,Marine biome
GCF_041222825.1*,Thalassolituus haligoni BB40,Thalassolituus haligoni BB40,Confirmed diazotroph,Isolate,Yes,99.77,1.07,0.879,4376545,327.769133,4376545,0.53,3920,1,4376545,Unspecified seawater,SAMN38473011,PRJNA1046103,Canada: Nova Scotia,44 N 63 W,Seawater
GCF_041230555.1,Thalassolituus sp. 02umA1Z07251.65,Thalassolituus sp. 1,Non-diazotroph,MAG,No,93.22,0.01,0.915,311945,341.98055,3336483,0.52,2982,18,689337,Unspecified seawater,SAMN41428550,PRJNA1081583,China: East China Sea,30.1282 N 122.74599 E,Marine metagenome
GCF_041234595.1,Thalassolituus sp. 02umA1B07291.39,Thalassolituus sp. 2,Non-diazotroph,MAG,No,92.2,0.04,0.915,366052,342.209569,3322859,0.52,2968,16,669875,Unspecified seawater,SAMN41428333,PRJNA1081583,China: East China Sea,30.1282 N 122.74599 E,Marine metagenome
GCF_041250145.1,Thalassolituus sp. 3umA1D07232.27,Thalassolituus sp. 3,Non-diazotroph,MAG,No,95.24,2.74,0.915,34553,329.005816,3331538,0.52,3095,141,136556,Unspecified seawater,SAMN41429187,PRJNA1081583,China: East China Sea,30.1282 N 122.74599 E,Marine metagenome
GCF_041258785.1,Thalassolituus sp. 3umC4D08012.44,Thalassolituus sp. 4,Non-diazotroph,MAG,No,96.8,0.08,0.923,144935,334.802632,3547673,0.53,3268,42,397581,Unspecified seawater,SAMN41429558,PRJNA1081583,China: East China Sea,30.1282 N 122.74599 E,Marine metagenome
GCF_041259185.1,Thalassolituus sp. 3umC4D07251.39,Thalassolituus sp. 5,Non-diazotroph,MAG,No,91.23,0.04,0.915,180496,340.794634,3241433,0.52,2907,27,393866,Unspecified seawater,SAMN41429536,PRJNA1081583,China: East China Sea,30.1282 N 122.74599 E,Marine metagenome
GCF_041259835.1,Thalassolituus sp. YZ14B2.34,Thalassolituus sp. 6,Non-diazotroph,MAG,No,90.66,0.3,0.925,31705,321.438417,3261365,0.54,3134,164,113972,Unspecified seawater,SAMN41429978,PRJNA1081583,China: East China Sea,30.1282 N 122.74599 E,Marine metagenome
GCF_046582215.1,Thalassolituus sp. OC31000m MAG 197,Thalassolituus sp. 7,Non-diazotroph,MAG,No,100,0.55,0.91,191958,332.11624,3884715,0.46,3553,31,362324,Unspecified seawater,SAMN38913239,PRJNA1054206,Pacific Ocean: California coast,36.799083 N 122.974330 W,Marine water column
GCF_046582255.1,Thalassolituus sp. OC33000m MAG 282,Thalassolituus sp. 8,Non-diazotroph,MAG,No,97.14,0.11,0.91,133857,332.822302,3672734,0.47,3354,36,366817,Unspecified seawater,SAMN38913240,PRJNA1054206,Pacific Ocean: California coast,36.799083 N 122.974330 W,Marine water column
GCF_900156675.1,Thalassolituus maritimus DSM 24913,Thalassolituus maritimus DSM 24913,Non-diazotroph,Isolate,No,99.93,0.08,0.912,377066,338.11741,3859465,0.51,3475,30,629397,Unspecified seawater,SAMN05421686,PRJEB18826,"Pari Island, Indonesia",5.8 ° S 106.6 ° E,Seawater
GCF_913019975.1,Thalassolituus maritimus ERR599149 bin 6,Thalassolituus maritimus ERR599149,Non-diazotroph,MAG,No,99.9,0.07,0.915,174804,334.762861,3493010,0.52,3188,34,387562,Unspecified seawater,SAMEA9694896,PRJEB37807,South Atlantic Ocean," -20.4075,-3.1641",Marine metagenome
GCF_913058015.1*,Thalassolituus oleivorans SRR3933287 bin 7,Thalassolituus oleivorans SRR3933287,Putative diazotroph,MAG,Yes,99.19,0.65,0.908,139388,326.652468,3820462,0.47,3545,46,360587,Unspecified seawater,SAMEA9694760,PRJEB37807,North Atlantic Ocean,"47,-48.288",Marine metagenome
GCF_937896655.1,Thalassolituus maritimus ERR599131 bin 44,Thalassolituus maritimus ERR599131,Non-diazotroph,MAG,No,99.95,0.02,0.914,113193,334.508244,3389571,0.52,3093,53,293307,Unspecified seawater,SAMEA14075323,PRJEB51078,South Atlantic Ocean," -31.0198,4.6685",Marine metagenome
GCF_950066645.1,uncultured Thalassolituus sp. SRR3960575 bin 1,uncultured Thalassolituus sp. 11,Non-diazotroph,MAG,No,99.99,0.04,0.925,196337,343.828666,3695061,0.53,3321,30,401498,Unspecified seawater,SAMEA112958294,PRJEB26111,North Atlantic Ocean,"20,-52.63",Marine metagenome
GCF_950069745.1,uncultured Thalassolituus sp. SRR3960577 bin 25,uncultured Thalassolituus sp. 12,Non-diazotroph,MAG,No,87.74,2.11,0.925,23923,325.402871,3448167,0.54,3274,195,112501,Unspecified seawater,SAMEA112958235,PRJEB26859,North Atlantic Ocean,"32.08,-17.26",Marine metagenome
GCF_963922525.1,Thalassolituus oleivorans SRR17458625 maxbin 2,Thalassolituus oleivorans SRR17458625,Non-diazotroph,MAG,No,99.9,0.2,0.913,23008,324.707352,3752695,0.47,3523,329,63397,Plastisphere,SAMEA115104804,PRJEB68227,"USA: Chesapeake Bay (GAZ,00002604)",76.17 W 37.89 N,Plastisphere metagenome
GCF_964005015.1,uncultured Thalassolituus sp. ERR599044 maxbin 22,uncultured Thalassolituus sp. 13,Non-diazotroph,MAG,No,99.97,0.05,0.913,174804,333.85238,3612356,0.51,3299,51,387562,Unspecified seawater,SAMEA115420312,PRJEB22493,South Atlantic Ocean,"-20.4075,-3.1641",Marine metagenome
HBD_Gamma_01*,HBD_Gamma_01,HBD_Gamma01,Putative diazotroph,MAG,Yes,99.45,2.52,0.883,57949,322.902672,4469063,0.52,4079,110,162231,Unspecified seawater,TARA_ION_MAG_00014,PRJEB402,Indian Ocean North ,Not provided,TARA Oceans Project
HBD_Gamma_04*,HBD_Gamma_04,HBD_Gamma04,Putative diazotroph,MAG,Yes,99.99,0.01,0.897,247516,323.622236,3519070,0.55,3256,22,490084,Unspecified seawater,TARA_PON_109_MAG_00015,PRJEB402,Pacific Ocean North,Not provided,TARA Oceans Project
HBD_Gamma_06*,HBD_Gamma_06,HBD_Gamma_06,Putative diazotroph,MAG,Yes,99.97,0.08,0.892,143455,331.993107,4203397,0.53,3772,44,285623,Unspecified seawater,TARA_PSE_93_MAG_00027,PRJEB402,Pacific Ocean South East,Not provided,TARA Oceans Project
HBD_Gamma_08*,HBD_Gamma_08,HBD_Gamma_08,Putative diazotroph,MAG,Yes,99.65,0.38,0.897,85146,326.550759,4169142,0.53,3822,67,240056,Unspecified seawater,TARA_PSW_86_MAG_00031,PRJEB402,Pacific Ocean South West,Not provided,TARA Oceans Project
HBD_Gamma_09*,HBD_Gamma_09,HBD_Gamma_09,Putative diazotroph,MAG,Yes,98.35,0.43,0.882,48897,326.524683,4291755,0.53,3869,138,113605,Unspecified seawater,TARA_PON_MAG_00023,PRJEB402,Pacific Ocean North,Not provided,TARA Oceans Project
HBD_Gamma_11*,HBD_Gamma_11,HBD_Gamma_11,Putative diazotroph,MAG,Yes,99.37,0.24,0.891,103455,328.694708,3611393,0.52,3269,51,270857,Unspecified seawater,TARA_PSE_93_MAG_00053,PRJEB402,Pacific Ocean South East,Not provided,TARA Oceans Project
