accession,name,gene,category,nif_gene,length_codons,GC,GC3s,ENC,FOP,CAI,CAI_percentile_background,CAI_percentile_ribosomal,mean_background_CAI,mean_ribo_CAI,n_ribo
HBD_gamma04,HBD_Gamma04,HBD_gamma04_PLPEHN_02870 FeMo cofactor biosynthesis protein NifB,nif,nifB,500,0.558666667,0.63256785,42.34433789,0.643006263,0.743750911,95.82738944,34.04255319,0.590308986,0.762986098,47
HBD_gamma04,HBD_Gamma04,HBD_gamma04_PLPEHN_02950 Nitrogenase molybdenum-iron protein alpha chain,nif,nifD,492,0.507452575,0.546038544,42.21782011,0.616702355,0.802652036,98.7874465,74.46808511,0.590308986,0.762986098,47
HBD_gamma04,HBD_Gamma04,HBD_gamma04_PLPEHN_03110 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifE,nif,nifE,480,0.553472222,0.609170306,44.40343244,0.591703057,0.668087088,84.23680456,4.255319149,0.590308986,0.762986098,47
HBD_gamma04,HBD_Gamma04,HBD_gamma04_PLPEHN_02945 Nitrogenase iron protein 1,nif,nifH,290,0.513793103,0.510869565,42.03107346,0.594202899,0.78818182,98.46647646,68.08510638,0.590308986,0.762986098,48
HBD_gamma04,HBD_Gamma04,HBD_gamma04_PLPEHN_02955 Nitrogenase molybdenum-iron protein beta chain,nif,nifK,522,0.512132822,0.610204082,40.47351443,0.644897959,0.815582137,99.17974322,78.72340426,0.590308986,0.762986098,47
HBD_gamma04,HBD_Gamma04,HBD_gamma04_PLPEHN_03115 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifN,nif,nifN,457,0.575492341,0.642696629,44.01378388,0.615730337,0.621010066,67.61768902,2.127659574,0.590308986,0.762986098,47
HBD_gamma06,HBD_Gamma06,HBD_gamma06_AIINON_15485 FeMo cofactor biosynthesis protein NifB,nif,nifB,503,0.54406892,0.58004158,44.48101034,0.661122661,0.644595289,79.91017964,0,0.592545091,0.760584564,48
HBD_gamma06,HBD_Gamma06,HBD_gamma06_AIINON_15420 Nitrogenase molybdenum-iron protein alpha chain,nif,nifD,491,0.471826205,0.44516129,41.98089073,0.632258065,0.79733314,99.16167665,75,0.592545091,0.760584564,48
HBD_gamma06,HBD_Gamma06,HBD_gamma06_AIINON_15270 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifE,nif,nifE,470,0.537588652,0.544642857,44.71176234,0.636160714,0.667139449,86.9760479,2.083333333,0.592545091,0.760584564,48
HBD_gamma06,HBD_Gamma06,HBD_gamma06_AIINON_15425 Nitrogenase iron protein 1,nif,nifH,291,0.495990836,0.469314079,40.70567392,0.664259928,0.835100759,99.82035928,93.75,0.592545091,0.760584564,46
HBD_gamma06,HBD_Gamma06,HBD_gamma06_AIINON_15415 Nitrogenase molybdenum-iron protein beta chain,nif,nifK,522,0.487228608,0.519427403,41.03848881,0.662576687,0.804673378,99.31137725,77.08333333,0.592545091,0.760584564,48
HBD_gamma06,HBD_Gamma06,HBD_gamma06_AIINON_15265 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifN,nif,nifN,468,0.529202279,0.53539823,48.64910671,0.566371681,0.585916577,48.05389222,0,0.592545091,0.760584564,48
HBD_gamma08,HBD_Gamma08,HBD_gamma08_HBLENI_17460 FeMo cofactor biosynthesis protein NifB,nif,nifB,500,0.576,0.668058455,45.07369379,0.693110647,0.651403991,84.84757018,6.25,0.570944598,0.759579341,48
HBD_gamma08,HBD_Gamma08,HBD_gamma08_HBLENI_17400 Nitrogenase molybdenum-iron protein alpha chain,nif,nifD,492,0.529132791,0.616702355,40.75583388,0.725910064,0.803718343,99.18502867,81.25,0.570944598,0.759579341,48
HBD_gamma08,HBD_Gamma08,HBD_gamma08_HBLENI_17255 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifE,nif,nifE,478,0.562064156,0.628008753,48.21608932,0.623632385,0.646145494,83.61002113,4.166666667,0.570944598,0.759579341,48
HBD_gamma08,HBD_Gamma08,HBD_gamma08_HBLENI_17405 Nitrogenase iron protein 1,nif,nifH,290,0.52183908,0.534296029,41.74341081,0.646209386,0.803655176,99.18502867,79.16666667,0.570944598,0.759579341,40
HBD_gamma08,HBD_Gamma08,HBD_gamma08_HBLENI_17395 Nitrogenase molybdenum-iron protein beta chain,nif,nifK,525,0.526349206,0.6598778,41.11657794,0.708757637,0.781399993,98.49079384,60.41666667,0.570944598,0.759579341,48
HBD_gamma08,HBD_Gamma08,HBD_gamma08_HBLENI_17250 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifN,nif,nifN,469,0.596304193,0.668859649,48.35014396,0.622807018,0.574737192,57.22909749,2.083333333,0.570944598,0.759579341,48
HBD_gamma09,HBD_Gamma09,HBD_gamma09_GAKKJI_16215 FeMo cofactor biosynthesis protein NifB,nif,nifB,503,0.535453943,0.56875,42.96924384,0.689583333,0.670375041,89.36867183,10.86956522,0.566373138,0.745980281,46
HBD_gamma09,HBD_Gamma09,HBD_gamma09_GAKKJI_16150 Nitrogenase molybdenum-iron protein alpha chain,nif,nifD,491,0.477936185,0.454935622,41.53276541,0.64806867,0.777121226,98.36212031,67.39130435,0.566373138,0.745980281,46
HBD_gamma09,HBD_Gamma09,HBD_gamma09_GAKKJI_14245 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifE,nif,nifE,470,0.532624113,0.513392857,44.68237085,0.618303571,0.603994378,72.78141751,0,0.566373138,0.745980281,46
HBD_gamma09,HBD_Gamma09,HBD_gamma09_GAKKJI_16155 Nitrogenase iron protein 1,nif,nifH,289,0.493656286,0.45620438,39.90486906,0.682481752,0.819610291,99.43418702,89.13043478,0.566373138,0.745980281,47
HBD_gamma09,HBD_Gamma09,HBD_gamma09_GAKKJI_16145 Nitrogenase molybdenum-iron protein beta chain,nif,nifK,522,0.491060026,0.534836066,40.804328,0.68852459,0.778822364,98.4514592,69.56521739,0.566373138,0.745980281,46
HBD_gamma09,HBD_Gamma09,HBD_gamma09_GAKKJI_14240 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifN,nif,nifN,468,0.527065527,0.530973451,46.81062775,0.530973451,0.536795091,36.95652174,0,0.566373138,0.745980281,46
HBD_gamma11,HBD_Gamma11,HBD_gamma11_KNMLCN_11575 FeMo cofactor biosynthesis protein NifB,nif,nifB,500,0.557333333,0.628392484,47.20644649,0.649269311,0.653174284,78.21149752,2.173913043,0.610151062,0.766023012,46
HBD_gamma11,HBD_Gamma11,HBD_gamma11_KNMLCN_16165 Nitrogenase molybdenum-iron protein alpha chain,nif,nifD,492,0.525745257,0.617521368,42.12668301,0.724358974,0.777932372,97.79985806,63.04347826,0.610151062,0.766023012,46
HBD_gamma11,HBD_Gamma11,HBD_gamma11_KNMLCN_08715 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifE,nif,nifE,478,0.585076709,0.695842451,42.97310573,0.693654267,0.649644119,76.68559262,2.173913043,0.610151062,0.766023012,46
HBD_gamma11,HBD_Gamma11,HBD_gamma11_KNMLCN_16170 Nitrogenase iron protein 1,nif,nifH,291,0.521191294,0.548736462,42.38432154,0.664259928,0.808037164,99.21930447,78.26086957,0.610151062,0.766023012,47
HBD_gamma11,HBD_Gamma11,HBD_gamma11_KNMLCN_16160 Nitrogenase molybdenum-iron protein beta chain,nif,nifK,522,0.533844189,0.685071575,41.33455886,0.736196319,0.76642888,97.33853797,52.17391304,0.610151062,0.766023012,46
HBD_gamma11,HBD_Gamma11,HBD_gamma11_KNMLCN_08720 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifN,nif,nifN,472,0.596045198,0.675324675,46.20586023,0.632034632,0.589977498,40.88005678,0,0.610151062,0.766023012,46
GCF_026626885,Parathalassolituus penaei G-43,GCF_026626885_FPEGHJ_11870 FeMo cofactor biosynthesis protein NifB,nif,nifB,501,0.584830339,0.663201663,46.33498273,0.615384615,0.566024594,60.13844823,2,0.552195803,0.762461274,50
GCF_026626885,Parathalassolituus penaei G-43,GCF_026626885_FPEGHJ_04395 Nitrogenase molybdenum-iron protein alpha chain,nif,nifD,493,0.551724138,0.669509595,39.99547931,0.763326226,0.738618224,94.00057687,36,0.552195803,0.762461274,50
GCF_026626885,Parathalassolituus penaei G-43,GCF_026626885_FPEGHJ_04520 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifE,nif,nifE,494,0.591767881,0.633474576,46.81698811,0.612288136,0.545082988,51.9180848,0,0.552195803,0.762461274,50
GCF_026626885,Parathalassolituus penaei G-43,GCF_026626885_FPEGHJ_04390 Nitrogenase iron protein 1,nif,nifH,289,0.554786621,0.65942029,42.91177346,0.72826087,0.744173927,94.46207095,38,0.552195803,0.762461274,49
GCF_026626885,Parathalassolituus penaei G-43,GCF_026626885_FPEGHJ_04400 Nitrogenase molybdenum-iron protein beta chain,nif,nifK,522,0.539591315,0.693415638,40.04804519,0.759259259,0.720731468,92.35650418,24,0.552195803,0.762461274,50
GCF_026626885,Parathalassolituus penaei G-43,GCF_026626885_FPEGHJ_04525 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifN,nif,nifN,462,0.602453102,0.691964286,44.80763065,0.633928571,0.535098404,48.05307182,0,0.552195803,0.762461274,50
GCF_041222825,Thalassolituus haligoni BB40,GCF_041222825_JMGMJO_16110 FeMo cofactor biosynthesis protein NifB,nif,nifB,509,0.544204322,0.574642127,48.85538487,0.591002045,0.721909599,92.01296788,16.32653061,0.626629356,0.774913789,49
GCF_041222825,Thalassolituus haligoni BB40,GCF_041222825_JMGMJO_16015 Nitrogenase molybdenum-iron protein alpha chain,nif,nifD,491,0.509164969,0.557939914,43.37515596,0.63304721,0.8045371,99.08635426,73.46938776,0.626629356,0.774913789,49
GCF_041222825,Thalassolituus haligoni BB40,GCF_041222825_JMGMJO_16890 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifE,nif,nifE,469,0.554371002,0.575892857,46.65388139,0.578125,0.680386757,80.78396699,4.081632653,0.626629356,0.774913789,49
GCF_041222825,Thalassolituus haligoni BB40,GCF_041222825_JMGMJO_16025 Nitrogenase iron protein 1,nif,nifH,293,0.510807736,0.517857143,44.64972008,0.585714286,0.799074964,98.79162983,67.34693878,0.626629356,0.774913789,41
GCF_041222825,Thalassolituus haligoni BB40,GCF_041222825_JMGMJO_16010 Nitrogenase molybdenum-iron protein beta chain,nif,nifK,522,0.510217114,0.595482546,41.41579099,0.642710472,0.834520396,99.82316534,93.87755102,0.626629356,0.774913789,49
GCF_041222825,Thalassolituus haligoni BB40,GCF_041222825_JMGMJO_16885 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifN,nif,nifN,477,0.553459119,0.561555076,47.3789812,0.555075594,0.645266985,63.95520189,0,0.626629356,0.774913789,49
GCF_913058015,Thalassolituus oleivorans SRR3933287,GCF_913058015_POJHFL_11625 FeMo cofactor biosynthesis protein NifB,nif,nifB,502,0.508632138,0.5,48.66842119,0.495833333,0.635308791,87.02983139,6.382978723,0.574211558,0.73500027,47
GCF_913058015,Thalassolituus oleivorans SRR3933287,GCF_913058015_POJHFL_11570 Nitrogenase molybdenum-iron protein alpha chain,nif,nifD,491,0.494229464,0.515021459,45.08404307,0.596566524,0.684175333,95.23346304,17.0212766,0.574211558,0.73500027,47
GCF_913058015,Thalassolituus oleivorans SRR3933287,GCF_913058015_POJHFL_11770 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifE,nif,nifE,471,0.551309271,0.587583149,47.88267265,0.44345898,0.558581539,42.73670558,2.127659574,0.574211558,0.73500027,47
GCF_913058015,Thalassolituus oleivorans SRR3933287,GCF_913058015_POJHFL_11575 Nitrogenase iron protein 1,nif,nifH,290,0.493103448,0.483754513,44.70192397,0.649819495,0.730964552,98.28145266,53.19148936,0.574211558,0.73500027,43
GCF_913058015,Thalassolituus oleivorans SRR3933287,GCF_913058015_POJHFL_11565 Nitrogenase molybdenum-iron protein beta chain,nif,nifK,522,0.48403576,0.54396728,46.28195183,0.574642127,0.699878601,96.56290532,21.27659574,0.574211558,0.73500027,47
GCF_913058015,Thalassolituus oleivorans SRR3933287,GCF_913058015_POJHFL_11765 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifN,nif,nifN,456,0.533625731,0.524886878,48.0363309,0.425339367,0.566102817,48.70298314,2.127659574,0.574211558,0.73500027,47
GCF_034111725,Thalassolituus sp. MAG485,GCF_034111725_LFFFGD_00055 FeMo cofactor biosynthesis protein NifB,nif,nifB,504,0.458333333,0.371900826,50.36862161,0.537190083,0.690632955,93.99239544,11.76470588,0.597681794,0.751530829,34
GCF_034111725,Thalassolituus sp. MAG485,GCF_034111725_LFFFGD_00110 Nitrogenase molybdenum-iron protein alpha chain,nif,nifD,491,0.447386286,0.386266094,45.63435568,0.637339056,0.749543422,98.55513308,52.94117647,0.597681794,0.751530829,34
GCF_034111725,Thalassolituus sp. MAG485,GCF_034111725_LFFFGD_00165 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifE,nif,nifE,470,0.490070922,0.417410714,49.87399875,0.535714286,0.642382432,80.8365019,2.941176471,0.597681794,0.751530829,34
GCF_034111725,Thalassolituus sp. MAG485,GCF_034111725_LFFFGD_00105 Nitrogenase iron protein 1,nif,nifH,289,0.446366782,0.350180505,46.42241129,0.63898917,0.74797948,98.51711027,52.94117647,0.597681794,0.751530829,36
GCF_034111725,Thalassolituus sp. MAG485,GCF_034111725_LFFFGD_00115 Nitrogenase molybdenum-iron protein beta chain,nif,nifK,522,0.443805875,0.427402863,48.71384677,0.607361963,0.719894761,96.6539924,29.41176471,0.597681794,0.751530829,34
GCF_034111725,Thalassolituus sp. MAG485,GCF_034111725_LFFFGD_00170 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifN,nif,nifN,463,0.482361411,0.410835214,49.73019218,0.478555305,0.609764689,63.38403042,0,0.597681794,0.751530829,34
GCA_002314145,Thalassolituus sp. UBA1087,GCA_002314145_FPMNGA_15610 FeMo cofactor biosynthesis protein NifB,nif,nifB,503,0.54406892,0.58004158,44.48101034,0.669438669,0.650654464,80.43609933,0,0.597022826,0.760845142,43
GCA_002314145,Thalassolituus sp. UBA1087,GCA_002314145_FPMNGA_15675 Nitrogenase molybdenum-iron protein alpha chain,nif,nifD,491,0.471826205,0.44516129,41.98089073,0.668817204,0.800054276,99.27316778,76.74418605,0.597022826,0.760845142,43
GCA_002314145,Thalassolituus sp. UBA1087,GCA_002314145_FPMNGA_14995 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifE,nif,nifE,470,0.537588652,0.544642857,44.71176234,0.642857143,0.672159109,87.03815869,2.325581395,0.597022826,0.760845142,43
GCA_002314145,Thalassolituus sp. UBA1087,GCA_002314145_FPMNGA_15670 Nitrogenase iron protein 1,nif,nifH,291,0.495990836,0.469314079,40.70567392,0.678700361,0.836790355,99.81829194,93.02325581,0.597022826,0.760845142,47
GCA_002314145,Thalassolituus sp. UBA1087,GCA_002314145_FPMNGA_15680 Nitrogenase molybdenum-iron protein beta chain,nif,nifK,522,0.487228608,0.519427403,41.03848881,0.668711656,0.805439098,99.39430648,79.06976744,0.597022826,0.760845142,43
GCA_002314145,Thalassolituus sp. UBA1087,GCA_002314145_FPMNGA_15000 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifN,nif,nifN,468,0.529202279,0.53539823,48.64910671,0.566371681,0.590968563,47.94064204,0,0.597022826,0.760845142,43
GCF_002324005,Thalassolituus sp. UBA1505,GCF_002324005_LMEBDD_10430 FeMo cofactor biosynthesis protein NifB,nif,nifB,503,0.535453943,0.56875,42.96924384,0.689583333,0.687045102,90.3058104,12.5,0.573762185,0.755799147,40
GCF_002324005,Thalassolituus sp. UBA1505,GCF_002324005_LMEBDD_05445 Nitrogenase molybdenum-iron protein alpha chain,nif,nifD,491,0.477257298,0.4527897,41.65973641,0.645922747,0.782929303,98.22629969,70,0.573762185,0.755799147,40
GCF_002324005,Thalassolituus sp. UBA1505,GCF_002324005_LMEBDD_12245 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifE,nif,nifE,470,0.532624113,0.513392857,44.68237085,0.618303571,0.616389547,74.09785933,0,0.573762185,0.755799147,40
GCF_002324005,Thalassolituus sp. UBA1505,GCF_002324005_LMEBDD_05450 hypothetical protein,nif,nifH,152,0.471491228,0.450704225,42.3941923,0.661971831,0.815380465,99.20489297,80,0.573762185,0.755799147,17
GCF_002324005,Thalassolituus sp. UBA1505,GCF_002324005_LMEBDD_05440 Nitrogenase molybdenum-iron protein beta chain,nif,nifK,522,0.491060026,0.534836066,40.804328,0.68852459,0.7896974,98.59327217,72.5,0.573762185,0.755799147,40
GCF_002324005,Thalassolituus sp. UBA1505,GCF_002324005_LMEBDD_12250 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifN,nif,nifN,468,0.527065527,0.530973451,46.81062775,0.530973451,0.547146278,38.37920489,0,0.573762185,0.755799147,40
GCA_002331085,Thalassolituus sp. UBA2109,GCA_002331085_LLFHCL_11350 FeMo cofactor biosynthesis protein NifB,nif,nifB,500,0.558666667,0.63256785,42.34433789,0.643006263,0.76446792,95.84396646,38.0952381,0.616419509,0.774893037,42
GCA_002331085,Thalassolituus sp. UBA2109,GCA_002331085_LLFHCL_11270 Nitrogenase molybdenum-iron protein alpha chain,nif,nifD,492,0.507452575,0.546038544,42.21782011,0.616702355,0.819655549,98.83339409,78.57142857,0.616419509,0.774893037,42
GCA_002331085,Thalassolituus sp. UBA2109,GCA_002331085_LLFHCL_11110 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifE,nif,nifE,480,0.553472222,0.609170306,44.40343244,0.591703057,0.695945626,84.90703609,4.761904762,0.616419509,0.774893037,42
GCA_002331085,Thalassolituus sp. UBA2109,GCA_002331085_LLFHCL_11275 Nitrogenase iron protein 1,nif,nifH,290,0.513793103,0.510869565,42.03107346,0.594202899,0.805943242,98.46882975,71.42857143,0.616419509,0.774893037,48
GCA_002331085,Thalassolituus sp. UBA2109,GCA_002331085_LLFHCL_11265 Nitrogenase molybdenum-iron protein beta chain,nif,nifK,522,0.512132822,0.610204082,40.47351443,0.644897959,0.825913367,98.9427634,80.95238095,0.616419509,0.774893037,42
GCA_002331085,Thalassolituus sp. UBA2109,GCA_002331085_LLFHCL_11105 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifN,nif,nifN,457,0.575492341,0.642696629,44.01378388,0.615730337,0.64777189,67.80896828,2.380952381,0.616419509,0.774893037,42
GCF_002433655,Thalassolituus sp. UBA6592,GCF_002433655_HDKPHC_00525 FeMo cofactor biosynthesis protein NifB,nif,nifB,503,0.535453943,0.56875,42.96924384,0.670833333,0.603930804,88.66934239,0,0.513855555,0.757550362,17
GCF_002433655,Thalassolituus sp. UBA6592,GCF_002433655_HDKPHC_00460 Nitrogenase molybdenum-iron protein alpha chain,nif,nifD,491,0.477257298,0.4527897,41.65973641,0.635193133,0.732206258,98.3636925,29.41176471,0.513855555,0.757550362,17
GCF_002433655,Thalassolituus sp. UBA6592,GCF_002433655_HDKPHC_07845 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifE,nif,nifE,470,0.532624113,0.513392857,44.68237085,0.602678571,0.542718138,70.63908614,0,0.513855555,0.757550362,17
GCF_002433655,Thalassolituus sp. UBA6592,GCF_002433655_HDKPHC_00465 Nitrogenase iron protein 1,nif,nifH,289,0.493656286,0.45620438,39.90486906,0.664233577,0.784612868,99.32077802,58.82352941,0.513855555,0.757550362,43
GCF_002433655,Thalassolituus sp. UBA6592,GCF_002433655_HDKPHC_00455 Nitrogenase molybdenum-iron protein beta chain,nif,nifK,522,0.491060026,0.534836066,40.804328,0.678278689,0.743193209,98.64155604,29.41176471,0.513855555,0.757550362,17
GCF_002433655,Thalassolituus sp. UBA6592,GCF_002433655_HDKPHC_07850 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifN,nif,nifN,468,0.527065527,0.530973451,46.81062775,0.526548673,0.478899706,33.93022538,0,0.513855555,0.757550362,17
GCA_002298335,Thalassolituus sp. UBA674,GCA_002298335_FBGDLH_10240 FeMo cofactor biosynthesis protein NifB,nif,nifB,500,0.558666667,0.63256785,42.34433789,0.64091858,0.764138894,95.84675976,37.20930233,0.613530189,0.774814046,43
GCA_002298335,Thalassolituus sp. UBA674,GCA_002298335_FBGDLH_01675 Nitrogenase molybdenum-iron protein alpha chain,nif,nifD,492,0.507452575,0.546038544,42.21782011,0.6124197,0.818824867,98.81847476,79.06976744,0.613530189,0.774814046,43
GCA_002298335,Thalassolituus sp. UBA674,GCA_002298335_FBGDLH_01835 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifE,nif,nifE,480,0.553472222,0.609170306,44.40343244,0.580786026,0.695120064,85.21303258,4.651162791,0.613530189,0.774814046,43
GCA_002298335,Thalassolituus sp. UBA674,GCA_002298335_FBGDLH_01670 Nitrogenase iron protein 1,nif,nifH,290,0.513793103,0.510869565,42.03107346,0.59057971,0.805497092,98.4962406,74.41860465,0.613530189,0.774814046,48
GCA_002298335,Thalassolituus sp. UBA674,GCA_002298335_FBGDLH_01680 Nitrogenase molybdenum-iron protein beta chain,nif,nifK,522,0.512132822,0.610204082,40.47351443,0.644897959,0.825036453,98.96168994,81.39534884,0.613530189,0.774814046,43
GCA_002298335,Thalassolituus sp. UBA674,GCA_002298335_FBGDLH_01840 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifN,nif,nifN,457,0.575492341,0.642696629,44.01378388,0.597752809,0.647241363,68.74328679,2.325581395,0.613530189,0.774814046,43
GCA_002450785,Thalassolituus sp. UBA6928,GCA_002450785_OMAGGI_06765 FeMo cofactor biosynthesis protein NifB,nif,nifB,503,0.54406892,0.58004158,44.48101034,0.669438669,0.641353486,82.92974589,0,0.578715196,0.771189679,22
GCA_002450785,Thalassolituus sp. UBA6928,GCA_002450785_OMAGGI_04350 Nitrogenase molybdenum-iron protein alpha chain,nif,nifD,491,0.471826205,0.44516129,41.98089073,0.668817204,0.781237145,98.95366218,50,0.578715196,0.771189679,22
GCA_002450785,Thalassolituus sp. UBA6928,GCA_002450785_OMAGGI_04495 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifE,nif,nifE,470,0.537588652,0.544642857,44.71176234,0.642857143,0.655872582,86.9955157,0,0.578715196,0.771189679,22
GCA_002450785,Thalassolituus sp. UBA6928,GCA_002450785_OMAGGI_04345 Nitrogenase iron protein,nif,nifH,257,0.494163424,0.473469388,40.54260913,0.681632653,0.833306281,99.85052317,86.36363636,0.578715196,0.771189679,49
GCA_002450785,Thalassolituus sp. UBA6928,GCA_002450785_OMAGGI_04355 Nitrogenase molybdenum-iron protein beta chain,nif,nifK,522,0.487228608,0.519427403,41.03848881,0.668711656,0.785422663,99.01345291,54.54545455,0.578715196,0.771189679,22
GCA_002450785,Thalassolituus sp. UBA6928,GCA_002450785_OMAGGI_04500 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifN,nif,nifN,468,0.529202279,0.53539823,48.64910671,0.566371681,0.56775325,44.27503737,0,0.578715196,0.771189679,22
GCA_002294235,Thalassolituus sp. UBA885,GCA_002294235_BJADOE_16650 FeMo cofactor biosynthesis protein NifB,nif,nifB,503,0.54406892,0.58004158,44.48101034,0.62993763,0.657128123,81.3196746,0,0.601603875,0.763324909,36
GCA_002294235,Thalassolituus sp. UBA885,GCA_002294235_BJADOE_16585 Nitrogenase molybdenum-iron protein alpha chain,nif,nifD,491,0.471826205,0.44516129,41.98089073,0.627956989,0.798830821,99.09611329,69.44444444,0.601603875,0.763324909,36
GCA_002294235,Thalassolituus sp. UBA885,GCA_002294235_BJADOE_08750 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifE,nif,nifE,470,0.537588652,0.544642857,44.71176234,0.613839286,0.677628464,87.46610425,0,0.601603875,0.763324909,36
GCA_002294235,Thalassolituus sp. UBA885,GCA_002294235_BJADOE_16590 Nitrogenase iron protein 1,nif,nifH,291,0.495990836,0.469314079,40.70567392,0.657039711,0.83849476,99.81922266,91.66666667,0.601603875,0.763324909,48
GCA_002294235,Thalassolituus sp. UBA885,GCA_002294235_BJADOE_16580 Nitrogenase molybdenum-iron protein beta chain,nif,nifK,522,0.487228608,0.519427403,41.03848881,0.652351738,0.8033313,99.24676107,75,0.601603875,0.763324909,36
GCA_002294235,Thalassolituus sp. UBA885,GCA_002294235_BJADOE_08755 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifN,nif,nifN,468,0.529202279,0.53539823,48.64910671,0.544247788,0.596543566,48.84001205,0,0.601603875,0.763324909,36
