protein,qseqid,query accession,sseqid,sscinames,bitscore,evalue,length,qlen,qcovs,slen,pident,staxids,stitle
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,gb|MGB1090736.1|,Oceanobacter sp.,979,0,526,523,100,526,86.692,2030817,nitrogenase molybdenum-iron protein subunit beta [Oceanobacter sp.]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_283173817.1|,Parathalassolituus penaei,967,0,523,523,100,523,84.704,2997323,nitrogenase molybdenum-iron protein subunit beta [Parathalassolituus penaei]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_090313067.1|,Pseudomonas linyingensis,964,0,523,523,100,523,84.704,915471,nitrogenase molybdenum-iron protein subunit beta [Pseudomonas linyingensis]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_011912506.1|,Stutzerimonas,962,0,523,523,100,523,85.086,306;316;379731;1212549;1802004;1977087;2717474;2901164;3035479,MULTISPECIES: nitrogenase molybdenum-iron protein subunit beta [Stutzerimonas]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_279640760.1|,Stutzerimonas stutzeri,962,0,523,523,100,523,84.895,316,nitrogenase molybdenum-iron protein subunit beta [Stutzerimonas stutzeri]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_377814333.1|,Azotobacter bryophylli,961,0,523,523,100,523,84.13,1986537,nitrogenase molybdenum-iron protein subunit beta [Azotobacter bryophylli]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_092432159.1|,Geopseudomonas sagittaria,961,0,523,523,100,523,84.321,1135990,nitrogenase molybdenum-iron protein subunit beta [Geopseudomonas sagittaria]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_014596163.1|,Stutzerimonas stutzeri,960,0,523,523,100,523,84.895,316;996285,nitrogenase molybdenum-iron protein subunit beta [Stutzerimonas stutzeri]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_313023765.1|,Pseudomonas lopnurensis,959,0,523,523,100,523,84.895,1477517,nitrogenase molybdenum-iron protein subunit beta [Pseudomonas lopnurensis]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,emb|SDH13052.1|,Pseudomonas benzenivorans,959,0,523,523,100,523,84.512,556533,Mo-nitrogenase MoFe protein subunit NifK [Pseudomonas benzenivorans]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_212543545.1|,Stutzerimonas balearica,959,0,523,523,100,523,84.512,74829,nitrogenase molybdenum-iron protein subunit beta [Stutzerimonas balearica]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_290586794.1|,unclassified Ketobacter,959,0,523,523,100,523,84.895,1872427;1891229;1913989;1977087;2072747;2083498;2639109,MULTISPECIES: nitrogenase molybdenum-iron protein subunit beta [unclassified Ketobacter]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_102894052.1|,Stutzerimonas stutzeri,959,0,523,523,100,523,84.512,316,nitrogenase molybdenum-iron protein subunit beta [Stutzerimonas stutzeri]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_028240786.1|,Stutzerimonas azotifigens,959,0,523,523,100,523,84.321,291995;1292027,nitrogenase molybdenum-iron protein subunit beta [Stutzerimonas azotifigens]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_265660000.1|,Stutzerimonas stutzeri,959,0,523,523,100,523,84.321,316,nitrogenase molybdenum-iron protein subunit beta [Stutzerimonas stutzeri]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_428602032.1|,Pseudomonas sp.,958,0,523,523,100,523,84.512,306,nitrogenase molybdenum-iron protein subunit beta [Pseudomonas sp.]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_200587114.1|,Stutzerimonas stutzeri,958,0,523,523,100,523,85.086,316,nitrogenase molybdenum-iron protein subunit beta [Stutzerimonas stutzeri]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_037041273.1|,Pseudomonas sp. BAY1663,958,0,523,523,100,523,84.321,1439940,nitrogenase molybdenum-iron protein subunit beta [Pseudomonas sp. BAY1663]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_042921677.1|,Stutzerimonas stutzeri,958,0,523,523,100,523,84.512,316,nitrogenase molybdenum-iron protein subunit beta [Stutzerimonas stutzeri]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_317933208.1|,Halioxenophilus sp. WMMB6,958,0,523,523,100,523,85.086,3073815,nitrogenase molybdenum-iron protein subunit beta [Halioxenophilus sp. WMMB6]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_003297998.1|,Pseudomonadota,958,0,523,523,100,523,84.704,316;924;1224;1211807;1212548;3035478,MULTISPECIES: nitrogenase molybdenum-iron protein subunit beta [Pseudomonadota]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_200649978.1|,Stutzerimonas stutzeri,957,0,523,523,100,523,84.895,316,nitrogenase molybdenum-iron protein subunit beta [Stutzerimonas stutzeri]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_003294716.1|,Stutzerimonas stutzeri,957,0,523,523,100,523,84.895,316;1218352,nitrogenase molybdenum-iron protein subunit beta [Stutzerimonas stutzeri]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_226685674.1|,Stutzerimonas stutzeri,956,0,523,523,100,523,84.704,316,nitrogenase molybdenum-iron protein subunit beta [Stutzerimonas stutzeri]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,gb|MCG8316287.1|,Pseudomonadales bacterium,953,0,523,523,100,523,84.512,1891229,nitrogenase molybdenum-iron protein subunit beta [Pseudomonadales bacterium]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,dbj|GAB2191154.1|,Sessilibacter sp. MAH1,953,0,523,523,100,523,83.939,3394570;3394571;3394572;3394573,nitrogenase molybdenum-iron protein subunit beta [Sessilibacter sp. MAH1]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,gb|MCG8383135.1|,Gammaproteobacteria bacterium,952,0,523,523,100,523,84.512,1913989,nitrogenase molybdenum-iron protein subunit beta [Gammaproteobacteria bacterium]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_201485707.1|,Pseudomonas sp. OF001,952,0,523,523,100,523,83.748,2772300,nitrogenase molybdenum-iron protein subunit beta [Pseudomonas sp. OF001]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,gb|NPU93491.1|,Gammaproteobacteria bacterium,951,0,523,523,100,523,83.748,1913989,nitrogenase molybdenum-iron protein subunit beta [Gammaproteobacteria bacterium]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,gb|MFZ5602631.1|,Pseudomonadota bacterium,950,0,523,523,100,523,84.13,1977087,nitrogenase molybdenum-iron protein subunit beta [Pseudomonadota bacterium]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_136489253.1|,Pseudomonas sp. A-1,949,0,523,523,100,523,83.365,1821274,nitrogenase molybdenum-iron protein subunit beta [Pseudomonas sp. A-1]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,gb|MCQ4346773.1|,Stutzerimonas stutzeri,948,0,523,523,100,523,83.174,316,nitrogenase molybdenum-iron protein subunit beta [Stutzerimonas stutzeri]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,gb|MAR89779.1|,Pseudomonadales bacterium,948,0,524,523,100,524,83.397,1891229;1977087,nitrogenase molybdenum-iron protein subunit beta [Pseudomonadales bacterium]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_386364793.1|,Stutzerimonas tarimensis,948,0,523,523,100,523,83.748,1507735,nitrogenase molybdenum-iron protein subunit beta [Stutzerimonas tarimensis]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_217681573.1|,Geopseudomonas aromaticivorans,947,0,523,523,100,523,83.365,2849492,nitrogenase molybdenum-iron protein subunit beta [Geopseudomonas aromaticivorans]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_165893568.1|,Azotobacter chroococcum,947,0,523,523,100,523,82.983,353,nitrogenase molybdenum-iron protein subunit beta [Azotobacter chroococcum]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_320548690.1|,Pseudomonas sp. AN-1,947,0,523,523,100,523,83.365,3096605,nitrogenase molybdenum-iron protein subunit beta [Pseudomonas sp. AN-1]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_090619180.1|,Azotobacter beijerinckii,947,0,523,523,100,523,82.792,170623,nitrogenase molybdenum-iron protein subunit beta [Azotobacter beijerinckii]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,gb|MFT3931149.1|,Spongiibacteraceae bacterium,946,0,523,523,100,523,83.365,2026793,nitrogenase molybdenum-iron protein subunit beta [Spongiibacteraceae bacterium]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_045825325.1|,Teredinibacter turnerae,944,0,523,523,100,523,82.409,2426,nitrogenase molybdenum-iron protein subunit beta [Teredinibacter turnerae]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,gb|MFB8830575.1|,Azotobacter sp. CWF10,944,0,523,523,100,523,82.218,3344191,nitrogenase molybdenum-iron protein subunit beta [Azotobacter sp. CWF10]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,gb|TVZ38786.1|,Alteromonadaceae bacterium 2753L.S.0a.02,944,0,523,523,100,523,83.365,1403320,nitrogenase molybdenum-iron protein beta chain [Alteromonadaceae bacterium 2753L.S.0a.02]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,tpg|HMW71701.1|,Cellvibrionaceae bacterium,943,0,523,523,100,523,83.174,2023283;2026723,nitrogenase molybdenum-iron protein subunit beta [Cellvibrionaceae bacterium]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_349617680.1|,Azotobacter salinestris,943,0,523,523,100,523,82.409,69964,nitrogenase molybdenum-iron protein subunit beta [Azotobacter salinestris]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_018277246.1|,Teredinibacter turnerae,942,0,523,523,100,523,82.218,2426;1056820;1206095,nitrogenase molybdenum-iron protein subunit beta [Teredinibacter turnerae]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,gb|OHC65404.1|,Pseudomonadales bacterium RIFCSPLOWO2_02_FULL_63_210,942,0,523,523,100,523,82.983,1802007,MAG: nitrogenase molybdenum-iron protein subunit beta [Pseudomonadales bacterium RIFCSPLOWO2_02_FULL_63_210]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_233089742.1|,Sessilibacter corallicola,942,0,523,523,100,523,83.365,2904075,nitrogenase molybdenum-iron protein subunit beta [Sessilibacter corallicola]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_349572213.1|,Azotobacter salinestris,942,0,523,523,100,523,82.218,69964,nitrogenase molybdenum-iron protein subunit beta [Azotobacter salinestris]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_193682425.1|,Pseudomonas lopnurensis,941,0,523,523,100,523,83.365,1477517,nitrogenase molybdenum-iron protein subunit beta [Pseudomonas lopnurensis]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_028886943.1|,Teredinibacter turnerae,941,0,523,523,100,523,82.027,2426;1070977,nitrogenase molybdenum-iron protein subunit beta [Teredinibacter turnerae]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_019604938.1|,Teredinibacter turnerae,941,0,523,523,100,523,82.027,2426;1056819,nitrogenase molybdenum-iron protein subunit beta [Teredinibacter turnerae]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,dbj|GAB1260427.1|,Cellvibrionaceae bacterium NBRC 116180,940,0,526,523,100,526,82.7,3157693,nitrogenase molybdenum-iron protein subunit beta [Cellvibrionaceae bacterium NBRC 116180]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_304843972.1|,Fluviicoccus sp.,939,0,523,523,100,523,82.6,2003552,nitrogenase molybdenum-iron protein subunit beta [Fluviicoccus sp.]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_172148992.1|,Pseudomonas tumuqii,939,0,523,523,100,523,82.792,2715755,nitrogenase molybdenum-iron protein subunit beta [Pseudomonas tumuqii]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_317686354.1|,Azotobacter beijerinckii,938,0,523,523,100,523,82.027,170623,nitrogenase molybdenum-iron protein subunit beta [Azotobacter beijerinckii]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_102654334.1|,Billgrantia endophytica,938,0,523,523,100,523,82.409,2033802,nitrogenase molybdenum-iron protein subunit beta [Billgrantia endophytica]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,dbj|GAB1257725.1|,Cellvibrionaceae bacterium NBRC 116180,938,0,526,523,100,526,82.51,3157693,nitrogenase molybdenum-iron protein subunit beta [Cellvibrionaceae bacterium NBRC 116180]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,gb|MFO1368237.1|,Marinagarivorans sp.,937,0,523,523,100,523,82.792,2023283,nitrogenase molybdenum-iron protein subunit beta [Marinagarivorans sp.]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_015820326.1|,Teredinibacter turnerae,937,0,523,523,100,523,81.644,2426;377629,nitrogenase molybdenum-iron protein subunit beta [Teredinibacter turnerae]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_090938115.1|,Azotobacter beijerinckii,937,0,523,523,100,523,82.027,170623,nitrogenase molybdenum-iron protein subunit beta [Azotobacter beijerinckii]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_090349184.1|,Pseudomonas oryzae,937,0,523,523,100,523,81.836,1392877,nitrogenase molybdenum-iron protein subunit beta [Pseudomonas oryzae]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,dbj|BFR61773.1|,Cellvibrionaceae bacterium NBRC 116180,936,0,526,523,100,526,82.319,3157693,nitrogenase molybdenum-iron protein subunit beta [Cellvibrionaceae bacterium NBRC 116180]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,dbj|GAB3373286.1|,Azotobacter armeniacus,936,0,523,523,100,523,81.453,270345,nitrogenase molybdenum-iron protein subunit beta [Azotobacter armeniacus]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,gb|MEE2730218.1|,Pseudomonadota bacterium,936,0,523,523,100,523,82.027,1977087,nitrogenase molybdenum-iron protein subunit beta [Pseudomonadota bacterium]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_135441230.1|,Mangrovimicrobium sediminis,936,0,526,523,100,526,82.51,2562682,nitrogenase molybdenum-iron protein subunit beta [Mangrovimicrobium sediminis]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_090731370.1|,Azotobacter beijerinckii,935,0,523,523,100,523,81.644,170623,nitrogenase molybdenum-iron protein subunit beta [Azotobacter beijerinckii]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_229606143.1|,Pseudomonas,935,0,523,523,100,523,81.644,286;2892443;3252651,MULTISPECIES: nitrogenase molybdenum-iron protein subunit beta [Pseudomonas]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,tpg|HRH76242.1|,Cellvibrionaceae bacterium,934,0,523,523,100,523,82.409,2026723,nitrogenase molybdenum-iron protein subunit beta [Cellvibrionaceae bacterium]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_131298261.1|,Azotobacter chroococcum,934,0,523,523,100,523,81.453,353,nitrogenase molybdenum-iron protein subunit beta [Azotobacter chroococcum]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_290575605.1|,Ketobacter sp.,934,0,523,523,100,523,82.027,2083498,nitrogenase molybdenum-iron protein subunit beta [Ketobacter sp.]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_018013636.1|,Teredinibacter turnerae,934,0,523,523,100,523,81.262,2426;1056817;1073969,nitrogenase molybdenum-iron protein subunit beta [Teredinibacter turnerae]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,gb|RLU03090.1|,Ketobacter sp.,933,0,524,523,100,524,82.252,2083498,MAG: nitrogenase molybdenum-iron protein subunit beta [Ketobacter sp.]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_131253866.1|,Azotobacter chroococcum,932,0,523,523,100,523,81.262,353,nitrogenase molybdenum-iron protein subunit beta [Azotobacter chroococcum]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_160965924.1|,Pseudomaricurvus sp. HS19,932,0,526,523,100,526,82.129,2692626,nitrogenase molybdenum-iron protein subunit beta [Pseudomaricurvus sp. HS19]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_039800833.1|,Azotobacter chroococcum,932,0,523,523,100,523,81.262,353;1328314,nitrogenase molybdenum-iron protein subunit beta [Azotobacter chroococcum]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,gb|MBA56594.1|,Pseudomonadales bacterium,932,0,524,523,100,524,82.061,1891229,nitrogenase molybdenum-iron protein subunit beta [Pseudomonadales bacterium]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_428241795.1|,Gynuella sp.,932,0,523,523,100,523,82.218,2969146,nitrogenase molybdenum-iron protein subunit beta [Gynuella sp.]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,gb|MEM0911882.1|,Pseudomonadota bacterium,932,0,523,523,100,523,82.792,1977087,nitrogenase molybdenum-iron protein subunit beta [Pseudomonadota bacterium]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_136888213.1|,Azotobacter chroococcum,931,0,523,523,100,523,81.071,353,nitrogenase molybdenum-iron protein subunit beta [Azotobacter chroococcum]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_089166738.1|,Azotobacter chroococcum,931,0,523,523,100,523,81.071,353,nitrogenase molybdenum-iron protein subunit beta [Azotobacter chroococcum]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_028877441.1|,Teredinibacter turnerae,931,0,523,523,100,523,81.071,2426;1056818,nitrogenase molybdenum-iron protein subunit beta [Teredinibacter turnerae]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_152387826.1|,Azotobacter salinestris,931,0,523,523,100,523,81.071,69964;1817753,nitrogenase molybdenum-iron protein subunit beta [Azotobacter salinestris]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_131183836.1|,Stutzerimonas kirkiae,931,0,523,523,100,523,82.218,2211392,nitrogenase molybdenum-iron protein subunit beta [Stutzerimonas kirkiae]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,gb|MBR9882907.1|,Oceanospirillales bacterium,930,0,523,523,100,523,83.365,1914300,nitrogenase molybdenum-iron protein subunit beta [Oceanospirillales bacterium]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_036190070.1|,Marinobacterium lacunae,929,0,523,523,100,523,83.174,1232683,nitrogenase molybdenum-iron protein subunit beta [Marinobacterium lacunae]
NifD,ARC_Gamma03___contig_1_2982,ARC_Gamma03,ref|WP_369855491.1|,Oceanospirillaceae,1026,0,492,492,100,492,99.797,135620;3100113;3133425,MULTISPECIES: nitrogenase molybdenum-iron protein alpha chain [Oceanospirillaceae]
NifD,ARC_Gamma03___contig_1_2982,ARC_Gamma03,ref|WP_303432265.1|,unclassified Oceanobacter,1011,0,492,492,100,492,97.764,2620260;3062618;3062619;3062622;3062623;3062645,MULTISPECIES: nitrogenase molybdenum-iron protein alpha chain [unclassified Oceanobacter]
NifD,ARC_Gamma03___contig_1_2982,ARC_Gamma03,gb|MGB1090737.1|,Oceanobacter sp.,977,0,492,492,99,494,94.106,2030817,nitrogenase molybdenum-iron protein alpha chain [Oceanobacter sp.]
NifD,ARC_Gamma03___contig_1_2982,ARC_Gamma03,gb|MBL4832598.1|,Pseudomonas sp.,976,0,492,492,100,493,93.699,306,nitrogenase molybdenum-iron protein alpha chain [Pseudomonas sp.]
NifD,ARC_Gamma03___contig_1_2982,ARC_Gamma03,ref|WP_276784391.1|,Thalassolituus oleivorans,975,0,492,492,100,492,93.699,187493,nitrogenase molybdenum-iron protein alpha chain [Thalassolituus oleivorans]
NifD,ARC_Gamma03___contig_1_2982,ARC_Gamma03,gb|MBM97020.1|,Oceanospirillaceae bacterium,973,0,493,492,100,493,93.712,1899355,nitrogenase molybdenum-iron protein alpha chain [Oceanospirillaceae bacterium]
NifD,ARC_Gamma03___contig_1_2982,ARC_Gamma03,gb|MAR01349.1|,Oceanospirillaceae bacterium,972,0,480,492,98,494,96.042,1899355,nitrogenase molybdenum-iron protein alpha chain [Oceanospirillaceae bacterium]
NifD,ARC_Gamma03___contig_1_2982,ARC_Gamma03,ref|WP_296983951.1|,unclassified Thalassolituus,964,0,480,492,98,492,94.375,1947653;1947665;2624967,MULTISPECIES: nitrogenase molybdenum-iron protein alpha chain [unclassified Thalassolituus]
NifD,ARC_Gamma03___contig_1_2982,ARC_Gamma03,gb|MAK91177.1|,Thalassolituus sp.,963,0,480,492,98,493,94.375,1899355;2030822,nitrogenase molybdenum-iron protein alpha chain [Thalassolituus sp.]
NifD,ARC_Gamma03___contig_1_2982,ARC_Gamma03,gb|MDK2776198.1|,Pseudomonadota bacterium,961,0,480,492,98,492,94.375,1977087,nitrogenase molybdenum-iron protein alpha chain [Pseudomonadota bacterium]
NifD,ARC_Gamma03___contig_1_2982,ARC_Gamma03,ref|WP_320818636.1|,Thalassolituus sp.,960,0,482,492,98,492,94.191,2030822,nitrogenase molybdenum-iron protein alpha chain [Thalassolituus sp.]
NifD,ARC_Gamma03___contig_1_2982,ARC_Gamma03,ref|WP_283173816.1|,Parathalassolituus penaei,960,0,480,492,98,494,94.375,2997323,nitrogenase molybdenum-iron protein alpha chain [Parathalassolituus penaei]
NifD,ARC_Gamma03___contig_1_2982,ARC_Gamma03,gb|MEM0911883.1|,Pseudomonadota bacterium,959,0,492,492,99,495,91.87,1977087,nitrogenase molybdenum-iron protein alpha chain [Pseudomonadota bacterium]
NifD,ARC_Gamma03___contig_1_2982,ARC_Gamma03,emb|SDH13079.1|,Pseudomonas benzenivorans,959,0,491,492,99,493,91.242,556533,Mo-nitrogenase MoFe protein subunit NifD precursor [Pseudomonas benzenivorans]
NifD,ARC_Gamma03___contig_1_2982,ARC_Gamma03,gb|MFO1368236.1|,Marinagarivorans sp.,959,0,491,492,99,493,91.65,2023283,nitrogenase molybdenum-iron protein alpha chain [Marinagarivorans sp.]
NifD,ARC_Gamma03___contig_1_2982,ARC_Gamma03,ref|WP_090313068.1|,Pseudomonas linyingensis,957,0,491,492,99,493,91.446,915471,nitrogenase molybdenum-iron protein alpha chain [Pseudomonas linyingensis]
NifD,ARC_Gamma03___contig_1_2982,ARC_Gamma03,tpg|HMY39122.1|,Marinagarivorans sp.,957,0,491,492,99,493,91.446,2023283;2026723,nitrogenase molybdenum-iron protein alpha chain [Marinagarivorans sp.]
NifD,ARC_Gamma03___contig_1_2982,ARC_Gamma03,ref|WP_290575607.1|,Ketobacter sp.,956,0,481,492,98,495,93.763,1977087;2083498,nitrogenase molybdenum-iron protein alpha chain [Ketobacter sp.]
